Incineration without EfW,26,15,14,14,69,15,16,13,17,61,16.121,15.807,0,0,31.928,0,0,0,0,0
(percentage,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Recycled/composted/reused,"243,249","233,946","197,444","190,736","865,374","274,736","277,399","213,496","202,881","968,513","293,256","295,542","216,330","205,192","1,010,320","306,259","300,002","215,652","202,882","1,024,794"
(percentage,35.99%,36.35%,33.77%,32.54%,34.75%,41.06%,42.76%,38.58%,37.42%,40.13%,45.22%,46.05%,40.49%,38.81%,42.93%,47.87%,47.16%,40.84%,39.29%,44.16%
Other,"3,640","3,773","4,315","1,671","13,400",0,295,50,103,449,"2,774","3,074","3,732","3,964","13,543","6,536","7,115","6,212","7,761","27,624"
(percentage,0.54%,0.59%,0.74%,0.29%,0.54%,0.00%,0.05%,0.01%,0.02%,0.02%,0.43%,0.48%,0.70%,0.75%,0.58%,1.02%,1.12%,1.18%,1.50%,1.19%
Total,"675,936","643,638","584,704","586,192","2,490,470","669,121","648,679","553,405","542,160","2,413,365","648,576","641,734","534,315","528,736","2,353,361","639,756","636,187","528,104","516,403","2,320,450"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 3: Recycling and recovery rates by quarter (East Midlands),,,,,,,,,,,,,,,,,,,Tonnes and percentages,
Household Waste Recycling,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Household waste (excl. recycling/comp/reuse),"388,421","365,387","345,467","347,014","1,446,289","347,059","328,498","306,027","288,576","1,270,160","310,871","306,099","280,779","287,396","1,185,146","289,978","293,867","275,268","279,621","1,138,735"
Household recycling/comp/reuse,"227,059","215,511","181,127","176,158","799,855","259,365","264,489","201,833","189,184","914,871","278,392","275,431","203,091","191,262","948,175","283,262","281,840","202,254","187,598","954,954"
Total household waste (incl. recycling/comp/reuse),"615,480","580,898","526,594","523,172","2,246,144","606,424","592,987","507,860","477,760","2,185,032","589,263","581,530","483,869","478,658","2,133,321","573,240","575,707","477,523","467,219","2,093,689"
Household waste recycling/comp/reuse rate,36.89%,37.10%,34.40%,33.67%,35.61%,42.77%,44.60%,39.74%,39.60%,41.87%,47.24%,47.36%,41.97%,39.96%,44.45%,49.41%,48.96%,42.35%,40.15%,45.61%
,,,,,,,,,,,,,,,,,,,,
Local Authority Collected Waste Recycling,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Local authority collected waste (excl. recycling/comp/reuse),"432,670","409,690","387,261","395,456","1,625,077","394,382","371,280","339,905","339,276","1,444,843","352,771","343,560","314,612","320,205","1,331,148","328,020","330,211","306,342","306,609","1,271,181"
Household recycling/comp/reuse,"227,059","215,511","181,127","176,158","799,855","259,365","264,489","201,833","189,184","914,871","278,392","275,431","203,091","191,262","948,175","283,262","281,840","202,254","187,598","954,954"
Non household recycling/comp/reuse,"16,190","18,434","16,317","14,577","65,519","15,371","12,911","11,662","13,697","53,641","14,864","20,111","13,239","13,930","62,145","22,996","18,162","13,397","15,284","69,840"
Local authority collected recycling/comp/reuse,"243,249","233,946","197,444","190,736","865,374","274,736","277,399","213,496","202,881","968,513","293,256","295,542","216,330","205,192","1,010,320","306,259","300,002","215,652","202,882","1,024,794"
Total local authority collected waste (incl. recycling/comp/reuse),"675,919","643,635","584,704","586,192","2,490,451","669,118","648,679","553,401","542,157","2,413,355","646,027","639,102","530,942","525,397","2,341,468","634,278","630,213","521,993","509,491","2,295,975"
Local authority collected recycling/comp/reuse rate,35.99%,36.35%,33.77%,32.54%,34.75%,41.06%,42.76%,38.58%,37.42%,40.13%,45.39%,46.24%,40.74%,39.05%,43.15%,48.28%,47.60%,41.31%,39.82%,44.63%
,,,,,,,,,,,,,,,,,,,,
Local Authority Collected Waste Recovery,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Local authority collected waste (excl. recycling/comp/reuse),"432,670","409,690","387,261","395,456","1,625,077","394,382","371,280","339,905","339,276","1,444,843","352,771","343,560","314,612","320,205","1,331,148","328,020","330,211","306,342","306,609","1,271,181"
Local authority collected recycling/comp/reuse,"243,249","233,946","197,444","190,736","865,374","274,736","277,399","213,496","202,881","968,513","293,256","295,542","216,330","205,192","1,010,320","306,259","300,002","215,652","202,882","1,024,794"
Incineration with EfW and RDF,"37,821","31,152","41,589","49,264","159,826","31,043","42,686","46,672","45,207","165,609","54,003","49,257","29,585","28,445","161,290","33,379","26,625","39,356","52,407","151,767"
Local authority collected waste recovery,"281,070","265,098","239,032","240,000","1,025,200","305,779","320,086","260,168","248,088","1,134,121","347,259","344,799","245,915","233,637","1,171,610","339,638","326,627","255,008","255,289","1,176,561"
Total local authority collected waste (incl. recycling/comp/reuse),"675,919","643,635","584,704","586,192","2,490,451","669,118","648,679","553,401","542,157","2,413,355","646,027","639,102","530,942","525,397","2,341,468","634,278","630,213","521,993","509,491","2,295,975"
Local authority collected recycling/comp/reuse rate,41.58%,41.19%,40.88%,40.94%,41.17%,45.70%,49.34%,47.01%,45.76%,46.99%,53.75%,53.95%,46.32%,44.47%,50.04%,53.55%,51.83%,48.85%,50.11%,51.24%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 4: Household waste and recycling per person by quarter (East Midlands),,,,,,,,,,,,,,,,,,,Kilograms per person,
,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Household waste not recycled/composted/reused,90,85,80,81,336,81,76,71,67,295,70,69,63,65,267,65,66,62,63,256
Household waste recycled/composted/reused,53,50,42,41,186,60,61,47,44,212,63,62,46,43,214,64,63,45,42,215
Total household waste,143,135,122,121,522,141,138,118,111,507,133,131,109,108,481,129,129,107,105,470
