Transaction Reference Number,Posting Date,Merchant Name,Final Transaction Amount,Description
1455548902,14/04/2011,ECOVERT,"10,246.00",Facilities management services
1456573636,15/04/2011,AVG INTERNET SECURITY,582.13,Antivirus for stand alone network
1456573679,15/04/2011,WWW.PAYCOLT.COM,599.99,Monthly subscription for annunciator
1456573680,15/04/2011,WWW.PAYCOLT.COM,599.99,Monthly subscription for annunciator
1457838671,18/04/2011,CANON UK LTD,866.53,Photocopiers - Rental & Copy Charge payments
1459518255,19/04/2011,STATIONERY OFFICE BOOK,"1,203.07","Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1459518238,19/04/2011,JONES YARRELL LEADENHALL,"3,601.44",Newspaper subscription - July 2010-February 2011
1462217836,22/04/2011,PREMIER,600,Prime Minister�s support team during visit overseas 
1463278705,25/04/2011,PREMIER,"2,969.00",Prime Minister�s support team during visit overseas 
1466335831,28/04/2011,"PROBRAND LTD.,",514.27,IT supplies
1466335830,28/04/2011,BT PAY BY PHONE,"2,407.40",Line Rental charges
1468405255,02/05/2011,SYM SECURE SITE SSL,724.79,SSL certificate for directgov site (internet security)
1470710744,04/05/2011,AMAZON WEB SERVICES,546,Hosting for a GDS prototype website
1470710747,04/05/2011,BIRKBECK COLLEGE,600,Training course
1470710745,04/05/2011,STATIONERY OFFICE BOOK,610.5,Referendum Welsh Order Forms and Explanatory Notes
1470710731,04/05/2011,AMAZON WEB SERVICES,"1,593.31",Hosting charges for data.gov.uk
1471693922,05/05/2011,DOD`S PARLIAMENTARY CO,576,Training Courses for two staff
1471693943,05/05/2011,DOD`S PARLIAMENTARY CO,576,Training Course
1471693954,05/05/2011,JONES YARRELL LEADENHALL,761.33,Monthly newspaper & magazine subscriptions
1474192951,09/05/2011,OFFICE DEPOT,554.64,Printing paper
1474192975,09/05/2011,DOD`S PARLIAMENTARY CO,576,Training Course
1474192958,09/05/2011,WWW.PAYCOLT.COM,599,Monthly subscription for annunciator
1474192970,09/05/2011,SYM SECURE SITE SSL,724.79,SSL certificate for directgov site (internet security)
1475772698,10/05/2011,JONES YARRELL LEADENHALL,670.55,Monthly newspaper & magazine subscriptions
1476663778,11/05/2011,REUTERS LONDON,621.14,IT Service Subscription
1476663804,11/05/2011,HPSL/WDIS MAIL ORDER,625,Annual subscription for the Environment Data Services Report
1476663766,11/05/2011,OCE (UK) LTD,"1,132.80",Rental of Fax machines
1477526963,12/05/2011,MULTI SCIENCE PUBL,604.8,Business Cards for Various Units
1477526967,12/05/2011,ECOVERT,641.47,Facilities management services
1477526961,12/05/2011,JONES YARRELL LEADENHALL,"3,077.67",Newspaper subscription - October 2009 & May 2010
1477526966,12/05/2011,ECOVERT,"5,642.26",Facilities management services
1478734265,13/05/2011,OFFICE DEPOT,588.06,Stationery Purchases
1479969888,16/05/2011,OFFICE DEPOT,"1,421.76",Printing paper
1479969943,16/05/2011,WWW.VODAFONE.COM,"1,594.69",Telecoms Purchases
1481668123,17/05/2011,STATIONERY OFFICE BOOK,507.68,Publication of a Standing Order
1482553720,18/05/2011,ALLIED DRINK SYST,510.17,Refills for hot drinks vending machine at the Fast Stream Assessment Centre
1482553715,18/05/2011,DOTTED EYES LTD,690,Training Course
1482553695,18/05/2011,CANON UK LTD,868.39,Photocopiers - Rental & Copy Charge payments
1482553704,18/05/2011,STATIONERY OFFICE BOOK,916.06,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1482553708,18/05/2011,JOHN LEWIS,"1,416.00",Display equipment for refurbished areas.
1485953683,23/05/2011,GOVERNMENT CAR AND DESPATCH AGENCY,522,Ministerial Cars
1485953718,23/05/2011,DOD`S PARLIAMENTARY CO,576,Training Course
1485953723,23/05/2011,DOD`S PARLIAMENTARY CO,576,Training Course
1485953707,23/05/2011,MISCO,609.24,ICT Consumables
1485953648,23/05/2011,JONES YARRELL LEADENHALL,643.75,Monthly newspaper & magazine subscriptions
1485953765,23/05/2011,OFFICE DEPOT,889.2,Stationery Purchases
1485953696,23/05/2011,BEST STL,"1,164.00",Training Course
1487638871,24/05/2011,CUPBOARDS DIRECT L,"-2,908.80",Refund for Mobile Phone Cabinets
1488462781,25/05/2011,STATIONERY OFFICE BOOK,810.7,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1488462789,25/05/2011,JOHN LEWIS,844,Refridgeration equipment for refurbished areas.
1488462779,25/05/2011,CHATHAM HOUSE,"2,818.75",Cabinet Office Membership 
1490764929,27/05/2011,"PROBRAND LTD.,",523.32,IT supplies
1494177664,01/06/2011,WWW.ZEN.CO.UK,832.08,Telecoms Purchases
1494177667,01/06/2011,SOFTWARE BOX LTD,"2,964.72",ICT Consumables
1495586466,03/06/2011,OFFICE DEPOT,588.06,Stationery Purchases
1496742737,06/06/2011,JONES YARRELL LEADENHALL,781.18,Monthly newspaper & magazine subscriptions
1496742715,06/06/2011,CANON UK LTD,848.48,Photocopiers - Rental & Copy Charge payments
1496742711,06/06/2011,AMAZON WEB SERVICES,"1,744.32",Hosting charges for data.gov.uk
1499225336,08/06/2011,OFFICE DEPOT,536.76,Official headed paper
1500185850,09/06/2011,LYRECO UK LTD,542.21,Stationery Purchases
1500185840,09/06/2011,ECOVERT,678.28,Facilities management services
1500185839,09/06/2011,ECOVERT,751.27,Facilities management services
1500185835,09/06/2011,LANODE LTD,"1,053.00",ICT Equipment
1500185836,09/06/2011,LANODE LTD,"1,053.00",ICT Equipment
1500185854,09/06/2011,ELECTRO TECH COLOU,"1,650.00",Panels for Conferences/Events
1500185838,09/06/2011,ECOVERT,"7,638.06",Facilities management services
1502504194,13/06/2011,OPP LIMITED,540,Myers Briggs psychometric analysis training aid
1502504217,13/06/2011,AQUILA BUSINESS PRODUC,552,IT supplies - Toner cartridges
1504259919,14/06/2011,VOCAL LTD,827.44,Internal Messaging Group Service 
1505052996,15/06/2011,CABLENET,587.82,VGA Media baluns for CAT5e cable system
1505052985,15/06/2011,CENTRAL OFFICE SUPPLIE,841.3,Stationery consumables
1505052991,15/06/2011,OFFICE DEPOT,"1,660.57",Printing paper
1506041988,16/06/2011,WWW.PAYCOLT.COM,649.99,Monthly subscription for annunciator
1508588875,20/06/2011,PCS BUSINESS SYSTEMS,832.44,ICT Consumables
1508588742,20/06/2011,OFFICE DEPOT,"1,599.48",Printing paper
1510996104,22/06/2011,DOD`S PARLIAMENTARY CO,576,Training Course
1511978000,23/06/2011,AMAZON  MKTPLCE EU-UK,-771.28,IT Supplies Credit
1511978015,23/06/2011,GOVERNMENT CAR AND DESPATCH AGENCY,522,Ministerial Cars
1511977997,23/06/2011,AMAZON  MKTPLCE EU-UK,"1,538.06",IT Supplies
1513018115,24/06/2011,CANON UK LTD,"2,688.77",Photocopiers - Rental & Copy Charge payments
1516118624,28/06/2011,ADDISON LEE PLC,"1,052.65",Ministerial Cars
1516967043,29/06/2011,ECOVERT,600,Hospitality for DPM reception prior to official overseas visit
1516967062,29/06/2011,LYRECO UK LTD,892.43,Stationery Purchases
1517976106,30/06/2011,OFFICE DEPOT,595.68,Printing paper
