ZEIT,RAUM,MERKMAL,WERT
2015,6 M�nster-Nord,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"56,21"
2015,9 M�nster-Hiltrup,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"43,02"
2016,5 M�nster-West,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"37,58"
2016,1 M�nster-Mitte,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"30,37"
2016,7 M�nster-Ost,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"28,14"
2016,8 M�nster-S�dost,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"38,98"
2016,9 M�nster-Hiltrup,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"43,77"
2016,6 M�nster-Nord,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"57,61"
2017,7 M�nster-Ost,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"28,66"
2017,5 M�nster-West,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"37,98"
2017,9 M�nster-Hiltrup,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"44,16"
2017,1 M�nster-Mitte,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"30,47"
2017,6 M�nster-Nord,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"58,4"
2017,8 M�nster-S�dost,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"42,02"
2018,6 M�nster-Nord,Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3,"58,42"
