"","Date of Payment","Expense type","Expense Area","Supplier","Transaction Number","Amount","Department and Entity"
"23",2013-07-29,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100291910,210.83,"United Kingdom Atomic Energy Authority"
"24",2013-07-29,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100291871,221.34,"United Kingdom Atomic Energy Authority"
"25",2013-08-05,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100292129,384.55,"United Kingdom Atomic Energy Authority"
"26",2013-07-29,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100291870,425,"United Kingdom Atomic Energy Authority"
"27",2013-07-29,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100291966,551,"United Kingdom Atomic Energy Authority"
"28",2013-08-12,"MATERIALS & SPARES","SUPPORT SERVICES","ALPHA PACKAGING",5100292416,266,"United Kingdom Atomic Energy Authority"
"29",2013-08-19,"MATERIALS & SPARES","FUSION","ANIXTER (UK) LTD",5100292579,1090,"United Kingdom Atomic Energy Authority"
"30",2013-07-29,"OPERATING LEASE","FUSION","ANNODATA BUSINESS COMMUNICATIONS",5100290829,1184.45,"United Kingdom Atomic Energy Authority"
"31",2013-07-29,"OPERATING LEASE","FUSION","ANNODATA BUSINESS COMMUNICATIONS",5100290828,2070,"United Kingdom Atomic Energy Authority"
"32",2013-08-05,"OPERATING LEASE","FUSION","ANNODATA BUSINESS COMMUNICATIONS",5100292116,2577.48,"United Kingdom Atomic Energy Authority"
"33",2013-08-05,"PROFESSIONAL SERVICES","SUPPORT SERVICES","AON HEWITT LTD",5100292146,20588.97,"United Kingdom Atomic Energy Authority"
"34",2013-07-29,"PROFESSIONAL SERVICES","SUPPORT SERVICES","AON HEWITT LTD",5100291883,147151.5,"United Kingdom Atomic Energy Authority"
"35",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292088,7.82,"United Kingdom Atomic Energy Authority"
"36",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292069,18.07,"United Kingdom Atomic Energy Authority"
"37",2013-08-12,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292415,38.52,"United Kingdom Atomic Energy Authority"
"38",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291777,40,"United Kingdom Atomic Energy Authority"
"39",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291771,49.59,"United Kingdom Atomic Energy Authority"
"40",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291860,52.12,"United Kingdom Atomic Energy Authority"
"41",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291859,54.47,"United Kingdom Atomic Energy Authority"
"42",2013-08-12,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292410,61.56,"United Kingdom Atomic Energy Authority"
"43",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292100,71,"United Kingdom Atomic Energy Authority"
"44",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292067,77.76,"United Kingdom Atomic Energy Authority"
"45",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291773,103.68,"United Kingdom Atomic Energy Authority"
"46",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292066,104,"United Kingdom Atomic Energy Authority"
"47",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292068,134.82,"United Kingdom Atomic Energy Authority"
"48",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291768,153.61,"United Kingdom Atomic Energy Authority"
"49",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292087,160,"United Kingdom Atomic Energy Authority"
"50",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292601,180.51,"United Kingdom Atomic Energy Authority"
"51",2013-08-12,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100290716,193.2,"United Kingdom Atomic Energy Authority"
"52",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291774,274.32,"United Kingdom Atomic Energy Authority"
"53",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291858,342.9,"United Kingdom Atomic Energy Authority"
"54",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291767,349.02,"United Kingdom Atomic Energy Authority"
"55",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291778,349.02,"United Kingdom Atomic Energy Authority"
"56",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292070,571.32,"United Kingdom Atomic Energy Authority"
"57",2013-08-07,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292086,958,"United Kingdom Atomic Energy Authority"
"58",2013-08-12,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100292226,1641,"United Kingdom Atomic Energy Authority"
"59",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO LTD",5100291766,2007.84,"United Kingdom Atomic Energy Authority"
"60",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292096,8.5,"United Kingdom Atomic Energy Authority"
"61",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292097,11.33,"United Kingdom Atomic Energy Authority"
"62",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292099,11.33,"United Kingdom Atomic Energy Authority"
"63",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292596,14,"United Kingdom Atomic Energy Authority"
"64",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292098,14.16,"United Kingdom Atomic Energy Authority"
"65",2013-08-05,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292095,16.99,"United Kingdom Atomic Energy Authority"
"66",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100291769,41.59,"United Kingdom Atomic Energy Authority"
"67",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100291775,46.32,"United Kingdom Atomic Energy Authority"
"68",2013-08-21,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","ARCO WESSEX",5100292412,75.58,"United Kingdom Atomic Energy Authority"
"69",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","SUPPORT SERVICES","ARCO WESSEX",5100291776,80.19,"United Kingdom Atomic Energy Authority"
"70",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","SUPPORT SERVICES","ARCO WESSEX",5100292725,181.51,"United Kingdom Atomic Energy Authority"
"71",2013-08-22,"PERSONAL PROTECTION EQUIPMENT","SUPPORT SERVICES","Army And Workwear",1900058714,25.49,"United Kingdom Atomic Energy Authority"
"72",2013-07-29,"STATIONERY","FUSION","ARTISAN LITHO PRINT  DESIGN",5100291902,1184,"United Kingdom Atomic Energy Authority"
"73",2013-08-12,"INSPECTION SERVICES","SUPPORT SERVICES","ASHDALE ENGINEERING",5100292147,11700,"United Kingdom Atomic Energy Authority"
"74",2013-08-05,"MATERIALS & SPARES","FUSION","ASO GLASBLOWING LTD",5100292091,336,"United Kingdom Atomic Energy Authority"
"75",2013-07-29,"PLANT SPARES","FUSION","AURIGA EUROPE PLC",5100291958,44.6,"United Kingdom Atomic Energy Authority"
"76",2013-08-12,"PLANT SPARES","FUSION","AURIGA EUROPE PLC",5100292476,65.3,"United Kingdom Atomic Energy Authority"
"77",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292565,-1318.44,"United Kingdom Atomic Energy Authority"
"78",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292552,-675.24,"United Kingdom Atomic Energy Authority"
"79",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292755,-466.11,"United Kingdom Atomic Energy Authority"
"80",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292631,130.05,"United Kingdom Atomic Energy Authority"
"81",2013-08-19,"CATERING","SUPPORT SERVICES","AVENANCE PLC",5100292633,545.5,"United Kingdom Atomic Energy Authority"
"82",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292568,689.09,"United Kingdom Atomic Energy Authority"
"83",2013-08-12,"CATERING","FUSION","AVENANCE PLC",5100292283,692.83,"United Kingdom Atomic Energy Authority"
"84",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292564,733.87,"United Kingdom Atomic Energy Authority"
"85",2013-08-19,"CATERING","PROPERTY","AVENANCE PLC",5100292561,734.94,"United Kingdom Atomic Energy Authority"
"86",2013-08-19,"CATERING","FUSION","AVENANCE PLC",5100292567,1140,"United Kingdom Atomic Energy Authority"
"87",2013-08-07,"CATERING","FUSION","AVENANCE PLC",5100292243,2380.97,"United Kingdom Atomic Energy Authority"
"88",2013-08-12,"CATERING","PROPERTY","AVENANCE PLC",5100292421,3260.75,"United Kingdom Atomic Energy Authority"
"89",2013-08-12,"CATERING","PROPERTY","AVENANCE PLC",5100292284,6148.15,"United Kingdom Atomic Energy Authority"
"90",2013-07-29,"PRINTING & GRAPHICS","FUSION","AWARDFRAMERS INTERNATIONAL",5100291901,122,"United Kingdom Atomic Energy Authority"
"91",2013-08-14,"IT EQUIPMENT NON CAPITAL","FUSION","AZTEX SOLUTIONS LIMITED",5100292380,11054.4,"United Kingdom Atomic Energy Authority"
"92",2013-08-05,"TREATED WATER","FUSION","B & V WATER TREATMENT",5100292080,1234.88,"United Kingdom Atomic Energy Authority"
"93",2013-08-14,"CONFERENCES/MEETINGS","FUSION","Barcelo Turismo y Congresos SL",1900058668,743.96,"United Kingdom Atomic Energy Authority"
"94",2013-08-20,"CONFERENCES/MEETINGS","FUSION","Barcelo Turismo y Congresos SL",1900058688,2063.26,"United Kingdom Atomic Energy Authority"
"95",2013-08-05,"REPAIRS & MAINTENANCE","FUSION","BATT CABLES PLC",5100292114,632,"United Kingdom Atomic Energy Authority"
"96",2013-08-14,"REPAIRS & MAINTENANCE","FUSION","BATT CABLES PLC",5100292623,39397.5,"United Kingdom Atomic Energy Authority"
"97",2013-08-14,"COMPUTER REPAIRS","FUSION","BCAS LTD",5100292304,36.48,"United Kingdom Atomic Energy Authority"
"98",2013-08-07,"REPAIRS & MAINTENANCE","FUSION","BEAVER 84 LIMITED",5100292230,440.62,"United Kingdom Atomic Energy Authority"
"99",2013-08-19,"PLANT & EQUIPMENT","FUSION","BELLEVILLE SPRINGS LTD",5100292680,50.92,"United Kingdom Atomic Energy Authority"
"100",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292444,14,"United Kingdom Atomic Energy Authority"
"101",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292445,14,"United Kingdom Atomic Energy Authority"
"102",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292446,14,"United Kingdom Atomic Energy Authority"
"103",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292451,14,"United Kingdom Atomic Energy Authority"
"104",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291388,17.5,"United Kingdom Atomic Energy Authority"
"105",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291400,17.5,"United Kingdom Atomic Energy Authority"
"106",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291401,17.5,"United Kingdom Atomic Energy Authority"
"107",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292453,19.5,"United Kingdom Atomic Energy Authority"
"108",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291387,35,"United Kingdom Atomic Energy Authority"
"109",2013-08-19,"CLEANING","PROPERTY","BIFFA RECYCLING",5100292563,91.31,"United Kingdom Atomic Energy Authority"
"110",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292450,97.5,"United Kingdom Atomic Energy Authority"
"111",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291397,101,"United Kingdom Atomic Energy Authority"
"112",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292449,181,"United Kingdom Atomic Energy Authority"
"113",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291392,181.9,"United Kingdom Atomic Energy Authority"
"114",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291395,184.5,"United Kingdom Atomic Energy Authority"
"115",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292442,190,"United Kingdom Atomic Energy Authority"
"116",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291391,202.5,"United Kingdom Atomic Energy Authority"
"117",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292443,250.5,"United Kingdom Atomic Energy Authority"
"118",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292448,296,"United Kingdom Atomic Energy Authority"
"119",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291394,299.5,"United Kingdom Atomic Energy Authority"
"120",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291399,300,"United Kingdom Atomic Energy Authority"
"121",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291390,336.5,"United Kingdom Atomic Energy Authority"
"122",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291398,586.5,"United Kingdom Atomic Energy Authority"
"123",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291389,600.5,"United Kingdom Atomic Energy Authority"
"124",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292452,652,"United Kingdom Atomic Energy Authority"
"125",2013-08-12,"CLEANING","FUSION","BIFFA RECYCLING",5100292447,860,"United Kingdom Atomic Energy Authority"
"126",2013-07-29,"CLEANING","FUSION","BIFFA RECYCLING",5100291393,863.5,"United Kingdom Atomic Energy Authority"
"127",2013-08-14,"LEGAL FEES","SUPPORT SERVICES","BIGGART BAILLIE",5100292571,153,"United Kingdom Atomic Energy Authority"
"128",2013-08-14,"LEGAL FEES","SUPPORT SERVICES","BIGGART BAILLIE",5100292574,303.5,"United Kingdom Atomic Energy Authority"
"129",2013-08-14,"LEGAL FEES","SUPPORT SERVICES","BIGGART BAILLIE",5100292573,595,"United Kingdom Atomic Energy Authority"
"130",2013-07-31,"STATIONERY","FUSION","BISHOPS PRINTERS",5100292057,664,"United Kingdom Atomic Energy Authority"
"131",2013-08-12,"LAUNDRY","FUSION","BLUEBELL LAUNDRY",5100292301,164.75,"United Kingdom Atomic Energy Authority"
"132",2013-08-12,"IT EQUIPMENT NON CAPITAL","FUSION","BLUEFORT SECURITY",5100292229,7799,"United Kingdom Atomic Energy Authority"
"133",2013-08-14,"PROFESSIONAL SERVICES","FUSION","BNS NUCLEAR SERVICES",5100292475,56486.99,"United Kingdom Atomic Energy Authority"
"134",2013-07-31,"PROFESSIONAL SERVICES","FUSION","BNS NUCLEAR SERVICES",5100291982,86165.99,"United Kingdom Atomic Energy Authority"
"135",2013-07-29,"GASES","FUSION","BOC LTD",5100291796,4.72,"United Kingdom Atomic Energy Authority"
"136",2013-08-14,"GASES","FUSION","BOC LTD",5100292499,22.8,"United Kingdom Atomic Energy Authority"
"137",2013-08-12,"GASES","FUSION","BOC LTD",5100292145,31.2,"United Kingdom Atomic Energy Authority"
"138",2013-07-31,"GASES","FUSION","BOC LTD",5100291994,51.36,"United Kingdom Atomic Energy Authority"
"139",2013-08-12,"GASES","FUSION","BOC LTD",5100292505,60.79,"United Kingdom Atomic Energy Authority"
"140",2013-08-12,"GASES","FUSION","BOC LTD",5100292503,70.66,"United Kingdom Atomic Energy Authority"
"141",2013-07-31,"GASES","FUSION","BOC LTD",5100291998,76.84,"United Kingdom Atomic Energy Authority"
"142",2013-08-14,"GASES","FUSION","BOC LTD",5100292434,76.84,"United Kingdom Atomic Energy Authority"
"143",2013-08-21,"GASES","FUSION","BOC LTD",5100292729,81.24,"United Kingdom Atomic Energy Authority"
"144",2013-08-12,"GASES","FUSION","BOC LTD",5100292496,112.83,"United Kingdom Atomic Energy Authority"
"145",2013-08-21,"GASES","FUSION","BOC LTD",5100292500,153.75,"United Kingdom Atomic Energy Authority"
"146",2013-08-12,"GASES","FUSION","BOC LTD",5100292506,188.94,"United Kingdom Atomic Energy Authority"
"147",2013-07-29,"GASES","FUSION","BOC LTD",5100291865,194.07,"United Kingdom Atomic Energy Authority"
"148",2013-08-14,"GASES","FUSION","BOC LTD",5100292495,194.24,"United Kingdom Atomic Energy Authority"
"149",2013-08-12,"GASES","FUSION","BOC LTD",5100292502,199.27,"United Kingdom Atomic Energy Authority"
"150",2013-08-14,"GASES","FUSION","BOC LTD",5100292498,208.51,"United Kingdom Atomic Energy Authority"
"151",2013-08-12,"GASES","FUSION","BOC LTD",5100292144,211.28,"United Kingdom Atomic Energy Authority"
"152",2013-08-12,"GASES","FUSION","BOC LTD",5100292504,222.11,"United Kingdom Atomic Energy Authority"
"153",2013-08-12,"GASES","FUSION","BOC LTD",5100292497,227.8,"United Kingdom Atomic Energy Authority"
"154",2013-08-14,"GASES","FUSION","BOC LTD",5100292604,243.05,"United Kingdom Atomic Energy Authority"
"155",2013-08-14,"GASES","FUSION","BOC LTD",5100292501,425.65,"United Kingdom Atomic Energy Authority"
"156",2013-08-05,"GASES","FUSION","BOC LTD",5100292143,511.2,"United Kingdom Atomic Energy Authority"
"157",2013-08-14,"GASES","FUSION","BOC LTD",5100292433,1548.75,"United Kingdom Atomic Energy Authority"
"158",2013-08-14,"GASES","FUSION","BOC LTD",5100292084,8946.6,"United Kingdom Atomic Energy Authority"
"159",2013-08-14,"GASES","FUSION","BOC LTD",5100292141,10974,"United Kingdom Atomic Energy Authority"
"160",2013-07-29,"GASES","FUSION","BOC LTD",5100291795,12489.9,"United Kingdom Atomic Energy Authority"
"161",2013-08-14,"GASES","FUSION","BOC LTD",5100292432,21315.6,"United Kingdom Atomic Energy Authority"
"162",2013-08-19,"GASES","FUSION","BOC LTD",5100292600,34189.66,"United Kingdom Atomic Energy Authority"
"163",2013-08-02,"COMPENSATION & LEGAL FEES","SUPPORT SERVICES","Boyes Turner LLP",1900058599,6005.6,"United Kingdom Atomic Energy Authority"
"164",2013-08-12,"TRAINING COURSE FEES","SUPPORT SERVICES","BPP LEARNING MEDIA LTD",5100292344,317.51,"United Kingdom Atomic Energy Authority"
"165",2013-08-12,"PLANT SPARES","FUSION","BRITE PRECISION",5100292292,8265.96,"United Kingdom Atomic Energy Authority"
"166",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292007,-101.09,"United Kingdom Atomic Energy Authority"
"167",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292002,-100.84,"United Kingdom Atomic Energy Authority"
"168",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292652,22.14,"United Kingdom Atomic Energy Authority"
"169",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292647,69.52,"United Kingdom Atomic Energy Authority"
"170",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292648,80.12,"United Kingdom Atomic Energy Authority"
"171",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292010,111.62,"United Kingdom Atomic Energy Authority"
"172",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292649,208.03,"United Kingdom Atomic Energy Authority"
"173",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292650,242.74,"United Kingdom Atomic Energy Authority"
"174",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292654,265.22,"United Kingdom Atomic Energy Authority"
"175",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292643,271.59,"United Kingdom Atomic Energy Authority"
"176",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292653,446.84,"United Kingdom Atomic Energy Authority"
"177",2013-08-19,"UTILITIES/ELECTRICITY","PROPERTY","BRITISH GAS BUSINESS",5100292651,572.19,"United Kingdom Atomic Energy Authority"
"178",2013-08-12,"CONSUMABLES","FUSION","BRITISH SALT LTD",5100292419,2872.37,"United Kingdom Atomic Energy Authority"
"179",2013-08-14,"BOOKS & PUBLICATIONS","SUPPORT SERVICES","BRITISH STANDARDS INSTITUTION",5100292172,132,"United Kingdom Atomic Energy Authority"
"180",2013-08-19,"BOOKS & PUBLICATIONS","FUSION","BRITISH STANDARDS INSTITUTION",5100292610,5727,"United Kingdom Atomic Energy Authority"
"181",2013-08-19,"BOOKS & PUBLICATIONS","FUSION","BRITISH STANDARDS INSTITUTION",5100292384,9615,"United Kingdom Atomic Energy Authority"
"182",2013-08-05,"REPAIRS & MAINTENANCE","FUSION","BSA MACHINE TOOLS LTD",5100291868,1598.87,"United Kingdom Atomic Energy Authority"
"183",2013-08-05,"REPAIRS & MAINTENANCE","FUSION","BSA MACHINE TOOLS LTD",5100291869,5161.21,"United Kingdom Atomic Energy Authority"
"184",2013-08-14,"PROFESSIONAL SERVICES","PROPERTY","BSP CONSULTING",5100292431,800,"United Kingdom Atomic Energy Authority"
"185",2013-07-29,"MATERIALS & SPARES","FUSION","BSS OXFORD",5100290915,130.8,"United Kingdom Atomic Energy Authority"
"186",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291921,-66.79,"United Kingdom Atomic Energy Authority"
"187",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291922,-30.49,"United Kingdom Atomic Energy Authority"
"188",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100292751,-20.24,"United Kingdom Atomic Energy Authority"
"189",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291917,-15.45,"United Kingdom Atomic Energy Authority"
"190",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291918,29.2,"United Kingdom Atomic Energy Authority"
"191",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291146,56.89,"United Kingdom Atomic Energy Authority"
"192",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291652,113.78,"United Kingdom Atomic Energy Authority"
"193",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291915,134.33,"United Kingdom Atomic Energy Authority"
"194",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291919,159.62,"United Kingdom Atomic Energy Authority"
"195",2013-08-19,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291920,176.36,"United Kingdom Atomic Energy Authority"
"196",2013-08-12,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100292254,308.03,"United Kingdom Atomic Energy Authority"
"197",2013-07-29,"PERSONAL PROTECTIVE EQUIPMENT","FUSION","BUCK & HICKMAN LTD",5100291144,376.03,"United Kingdom Atomic Energy Authority"
"198",2013-07-29,"MATERIALS & SPARES","FUSION","BUDGET FORKTRUCKS LTD",5100291849,268.67,"United Kingdom Atomic Energy Authority"
"199",2013-07-29,"MATERIALS & SPARES","FUSION","BUDGET FORKTRUCKS LTD",5100291845,390,"United Kingdom Atomic Energy Authority"
"200",2013-08-05,"MATERIALS & SPARES","FUSION","BUDGET FORKTRUCKS LTD",5100291846,1196,"United Kingdom Atomic Energy Authority"
"201",2013-08-12,"CATERING SUPPLIES","SUPPORT SERVICES","BWT UK LTD",5100292232,180,"United Kingdom Atomic Energy Authority"
