"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"48","Department of Health","NHS East Lancashire","Block Non Pbr","Mental - Nhs","Lancashire Care NHS",20708,2011-01-04,3125117
"49","Department of Health","NHS East Lancashire","Private Sector","P C - Cpoc 09/10","Lancashire County Council",220560,2011-01-26,42000
"50","Department of Health","NHS East Lancashire","Private Sector","P C - Cpoc 09/10","Lancashire County Council",220613,2011-01-26,30231.6
"51","Department of Health","NHS East Lancashire","Private Sector","P C - Cpoc 10/11","Lancashire County Council",220560,2011-01-26,26355.48
"52","Department of Health","NHS East Lancashire","Additional Sla","P C - Nhs","Lancashire Drug And Alcohol Team",20709,2011-01-04,225709
"53","Department of Health","NHS East Lancashire","Non Pat Rel Nhs Sla","Lasca","Lancashire South Cumbria Agency",21021,2011-01-14,76267
"54","Department of Health","NHS East Lancashire","Over/Under Pbr Perfor","A & S  - Nhs","Lancashire Teaching Ft",20717,2011-01-05,75721
"55","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","Lancashire Teaching Ft",20498,2011-01-05,79228
"56","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Lancashire Teaching Hospitals Nhs Foundation",20710,2011-01-04,1550298
"57","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","Lancashire Teaching Hospitals Nhs Foundation",20711,2011-01-04,42635
"58","Department of Health","NHS East Lancashire","Over/Under Pbr Perfor","A & S  - Nhs","Leeds Teaching Hospitals Nhs Trust",20768,2011-01-05,79354.27
"59","Department of Health","NHS East Lancashire","Property Services  / Estates","Estate Running Costs","Maple Grove Developments Ltd",218101,2011-01-12,92832.57
"60","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Morecambe Bay Hospitals Nhs Trust",21024,2011-01-14,29723
"61","Department of Health","NHS East Lancashire","Private Sector","P C - Chc 10/11","National Autistic Society",220598,2011-01-26,33013.12
"62","Department of Health","NHS East Lancashire","Private Sector","P C - Chc 10/11","National Autistic Society",220600,2011-01-26,33013.12
"63","Department of Health","NHS East Lancashire","Oohdf-Category A","Gp Ooh Services","Nhs Direct",21169,2011-01-21,42443.5
"64","Department of Health","NHS East Lancashire","Non Pat Rel Nhs Sla","Residual Functions","Nhs Litigation Authority",21275,2011-01-28,41889
"65","Department of Health","NHS East Lancashire","Non Pat Rel Nhs Sla","Residual Functions","Nhs Litigation Authority",21276,2011-01-28,48813
"66","Department of Health","NHS East Lancashire","Resus Suspense","Balance Sheet","Nhs Supply Chain",20999,2011-01-13,33579.18
"67","Department of Health","NHS East Lancashire","Resus Suspense","Balance Sheet","Nhs Supply Chain",21000,2011-01-13,32262.96
"68","Department of Health","NHS East Lancashire","Istc Hosted By Nhs/Doh","A & S  - Nhs","North Lancashire Pct",20926,2011-01-28,326657.55
"69","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","North West Ambulance Service Nhs Trust",21025,2011-01-14,127066
"70","Department of Health","NHS East Lancashire","Block Non Pbr","Mental - Nhs","Pennine Care Nhs Foundation Trust",20713,2011-01-04,31696
"71","Department of Health","NHS East Lancashire","Interest On Finance Lease","Estate Running Costs","Pimco 2451 Ltd",220875,2011-01-28,58762.8
"72","Department of Health","NHS East Lancashire","Interest On Finance Lease","Estate Running Costs","Pimco 2451 Ltd",220875,2011-01-28,49788.47
"73","Department of Health","NHS East Lancashire","Input Vat","Balance Sheet","Pinco 2223 Ltd",220846,2011-01-28,32175.17
"74","Department of Health","NHS East Lancashire","Finance Leases - Lift","Balance Sheet","Pinco 2223 Ltd",220846,2011-01-28,34290.55
"75","Department of Health","NHS East Lancashire","Interest On Finance Lease","Estate Running Costs","Pinco 2223 Ltd",220846,2011-01-28,127713.85
"76","Department of Health","NHS East Lancashire","Pfi Service Charges","Estate Running Costs","Pinco 2223 Ltd",220846,2011-01-28,41451.62
"77","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","Portsmouth Hospitals Nhs Trust",21049,2011-01-21,29608.34
"78","Department of Health","NHS East Lancashire","Pfi Service Charges","Estate Running Costs","Rossendale Lift Ltd",220878,2011-01-28,34997.09
"79","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Salford Royal Nhs Foundation Trust",20714,2011-01-04,36448
"80","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","The Leeds Teaching Hospital Trust",21022,2011-01-14,183076
"81","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","The Pennine Acute Hospitals Nhs Trust",21027,2011-01-14,1274180
"82","Department of Health","NHS East Lancashire","Over/Under Pbr Perfor","A & S  - Nhs","The Pennine Acute Hospitals Nhs Trust",20381,2011-01-05,57206
"83","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","University Hospitals Of South Manchester",20715,2011-01-04,48176
"84","Department of Health","NHS East Lancashire","Private Sector","P C - Cpoc 10/11","Windermere House Care Centre",219348,2011-01-18,27519.33
"85","Department of Health","NHS East Lancashire","Private Sector","P C - Cpoc 10/11","Windermere House Care Centre",220612,2011-01-26,27519.33
"86","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Wrightington Wigan Leigh Hospitals Nhs Trus",21029,2011-01-14,152881
"87","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","St James Medical Centre",15623,2011-01-24,26.55
"88","Department of Health","NHS East Lancashire","GMS LES - MMR under 25's campaign","GMS","St James Medical Centre",15623,2011-01-24,36.4
"89","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","St James Medical Centre",15623,2011-01-24,37.61
"90","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","St James Medical Centre",15623,2011-01-24,135.16
"91","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","St James Medical Centre",15623,2011-01-24,150
"92","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","St James Medical Centre",15623,2011-01-24,318.17
"93","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","St James Medical Centre",15623,2011-01-24,325
"94","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","St James Medical Centre",15623,2011-01-24,375
"95","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","St James Medical Centre",15623,2011-01-24,650
"96","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","St James Medical Centre",15623,2011-01-24,1059.07
"97","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","St James Medical Centre",15623,2011-01-24,1550
"98","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","St James Medical Centre",15623,2011-01-24,2809.83
"99","Department of Health","NHS East Lancashire","GMS Premises Borrowing Costs incl Cost Rents","GMS","St James Medical Centre",15623,2011-01-24,4333.33
"100","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","St James Medical Centre",15623,2011-01-24,10222.9
"101","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","St James Medical Centre",15623,2011-01-24,15810.95
"102","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","St James Medical Centre",15623,2011-01-24,67812.69
"103","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Yorkshire Street Surgery",15623,2011-01-24,15.05
"104","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Yorkshire Street Surgery",15623,2011-01-24,17.08
"105","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Yorkshire Street Surgery",15623,2011-01-24,35.4
"106","Department of Health","NHS East Lancashire","GMS LES - MMR under 25's campaign","GMS","Yorkshire Street Surgery",15623,2011-01-24,43.68
"107","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Yorkshire Street Surgery",15623,2011-01-24,50
"108","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Yorkshire Street Surgery",15623,2011-01-24,59.54
"109","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Yorkshire Street Surgery",15623,2011-01-24,66.94
"110","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Yorkshire Street Surgery",15623,2011-01-24,92.31
"111","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Yorkshire Street Surgery",15623,2011-01-24,427.08
"112","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Yorkshire Street Surgery",15623,2011-01-24,775
"113","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Yorkshire Street Surgery",15623,2011-01-24,910.96
"114","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Yorkshire Street Surgery",15623,2011-01-24,1475
"115","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Yorkshire Street Surgery",15623,2011-01-24,1542.62
"116","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Yorkshire Street Surgery",15623,2011-01-24,1656.5
"117","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Yorkshire Street Surgery",15623,2011-01-24,3875
"118","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Yorkshire Street Surgery",15623,2011-01-24,5528.1
"119","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Yorkshire Street Surgery",15623,2011-01-24,7725.67
"120","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Yorkshire Street Surgery",15623,2011-01-24,34128.16
"121","Department of Health","NHS East Lancashire","GMS - Adv Recd - Disp GP's","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,-32267.12
"122","Department of Health","NHS East Lancashire","GMS - Prescription Charges - Disp Drs","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,-1504.8
"123","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,45.15
"124","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,46.87
"125","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,88.5
"126","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,106.18
"127","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,200
"128","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,350
"129","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,434.17
"130","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,475
"131","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1250
"132","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1279
"133","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1383.33
"134","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1502.71
"135","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1694.33
"136","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,1875
"137","Department of Health","NHS East Lancashire","GMS LES - Vasectomy","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,2100
"138","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,2983.56
"139","Department of Health","NHS East Lancashire","GMS PCO - Locum Allowance Adopt Paternity Maternity","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,3619.46
"140","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,4500
"141","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,4533.66
"142","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,7020.83
"143","Department of Health","NHS East Lancashire","GMS - Dispensing Personal Administration","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,7629.49
"144","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,14581.1
"145","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Disp GPs","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,31667.92
"146","Department of Health","NHS East Lancashire","GMS - Adv Paid - Disp GP's","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,46744.44
"147","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Sabden & Whalley Medical Group",15623,2011-01-24,59576.54
"148","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","St Nicholas Group Practice",15623,2011-01-24,17.7
"149","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","St Nicholas Group Practice",15623,2011-01-24,35.01
"150","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","St Nicholas Group Practice",15623,2011-01-24,37.58
"151","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","St Nicholas Group Practice",15623,2011-01-24,90
"152","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","St Nicholas Group Practice",15623,2011-01-24,125
"153","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","St Nicholas Group Practice",15623,2011-01-24,224.17
"154","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","St Nicholas Group Practice",15623,2011-01-24,427.08
"155","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","St Nicholas Group Practice",15623,2011-01-24,716.67
"156","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","St Nicholas Group Practice",15623,2011-01-24,844.83
"157","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","St Nicholas Group Practice",15623,2011-01-24,1100
"158","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","St Nicholas Group Practice",15623,2011-01-24,3369.65
"159","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","St Nicholas Group Practice",15623,2011-01-24,10396.04
"160","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","St Nicholas Group Practice",15623,2011-01-24,11957.92
"161","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","St Nicholas Group Practice",15623,2011-01-24,50769.05
"162","Department of Health","NHS East Lancashire","GMS Health Centre Charges","GMS","Richmond Courp Group Practice",15623,2011-01-24,-1884.17
"163","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Richmond Courp Group Practice",15623,2011-01-24,7.18
"164","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Richmond Courp Group Practice",15623,2011-01-24,17.7
"165","Department of Health","NHS East Lancashire","GMS LES - MMR under 25's campaign","GMS","Richmond Courp Group Practice",15623,2011-01-24,36.4
"166","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Richmond Courp Group Practice",15623,2011-01-24,50
"167","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Richmond Courp Group Practice",15623,2011-01-24,108.49
"168","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Richmond Courp Group Practice",15623,2011-01-24,249.09
"169","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Richmond Courp Group Practice",15623,2011-01-24,800
"170","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Richmond Courp Group Practice",15623,2011-01-24,1000
"171","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Richmond Courp Group Practice",15623,2011-01-24,1637.93
"172","Department of Health","NHS East Lancashire","GMS PCO - Locum Allowance Adopt Paternity Maternity","GMS","Richmond Courp Group Practice",15623,2011-01-24,4970.3
"173","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Richmond Courp Group Practice",15623,2011-01-24,6461.02
"174","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Richmond Courp Group Practice",15623,2011-01-24,10205.19
"175","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Richmond Courp Group Practice",15623,2011-01-24,48881.51
"176","Department of Health","NHS East Lancashire","GMS - Swine Flu","GMS","Irwell Medical Practice",15623,2011-01-24,-5.25
"177","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Irwell Medical Practice",15623,2011-01-24,35.4
"178","Department of Health","NHS East Lancashire","GMS LES - Start Diabetes","GMS","Irwell Medical Practice",15623,2011-01-24,198.58
"179","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Irwell Medical Practice",15623,2011-01-24,208.39
"180","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Irwell Medical Practice",15623,2011-01-24,333.33
"181","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Irwell Medical Practice",15623,2011-01-24,359.32
"182","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Irwell Medical Practice",15623,2011-01-24,1162.02
"183","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Irwell Medical Practice",15623,2011-01-24,1279
"184","Department of Health","NHS East Lancashire","GMS LES - Vasectomy","GMS","Irwell Medical Practice",15623,2011-01-24,1350
"185","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Irwell Medical Practice",15623,2011-01-24,1856.08
"186","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Irwell Medical Practice",15623,2011-01-24,1860
"187","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Irwell Medical Practice",15623,2011-01-24,2604.54
"188","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Irwell Medical Practice",15623,2011-01-24,3200
"189","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Irwell Medical Practice",15623,2011-01-24,8749.9
"190","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Irwell Medical Practice",15623,2011-01-24,16638.56
"191","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Irwell Medical Practice",15623,2011-01-24,76810.77
"192","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Manchester Road Surgery",15623,2011-01-24,7.51
"193","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Manchester Road Surgery",15623,2011-01-24,10
"194","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Manchester Road Surgery",15623,2011-01-24,35.4
"195","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Manchester Road Surgery",15623,2011-01-24,39.69
"196","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Manchester Road Surgery",15623,2011-01-24,100
"197","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Manchester Road Surgery",15623,2011-01-24,100.41
"198","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Manchester Road Surgery",15623,2011-01-24,114.87
"199","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Manchester Road Surgery",15623,2011-01-24,550
"200","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Manchester Road Surgery",15623,2011-01-24,766.67
"201","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Manchester Road Surgery",15623,2011-01-24,769.34
"202","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Manchester Road Surgery",15623,2011-01-24,789.39
"203","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Manchester Road Surgery",15623,2011-01-24,937.37
"204","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Manchester Road Surgery",15623,2011-01-24,1468.92
"205","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Manchester Road Surgery",15623,2011-01-24,2833.33
"206","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Manchester Road Surgery",15623,2011-01-24,3753.43
"207","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Manchester Road Surgery",15623,2011-01-24,5286.29
"208","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Manchester Road Surgery",15623,2011-01-24,25652.35
