"","Date Occurred","Local Authority Department","CIPFA Classification","Summary of purpose of expenditure","Merchant Category","Merchant","Settlement Amount","Irrecoverable VAT"
"63",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648121",13.55,0
"64",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648121",4,0
"65",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648121",0.34,0
"66",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648660",20.5,0
"67",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648660",0.6,0
"68",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648660",4,0
"69",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648660",0.51,0
"70",2015-01-22,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201653153",22.2,0
"71",2015-01-22,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201653153",4,0
"72",2015-01-22,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201653153",0.6,0
"73",2015-01-22,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201653153",0.56,0
"74",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660308",4,0
"75",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660308",6.6,0
"76",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660308",0.17,0
"77",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660308",0.6,0
"78",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660362",1.73,0
"79",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660362",0.6,0
"80",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660362",69.2,0
"81",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660362",4,0
"82",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",0.28,0
"83",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",12.8,0
"84",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",0.32,0
"85",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",4,0
"86",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",0.6,0
"87",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660412",11,0
"88",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660456",20.9,0
"89",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660456",4,0
"90",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660456",0.52,0
"91",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660456",0.6,0
"92",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660459",0.33,0
"93",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660459",13.2,0
"94",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660459",4,0
"95",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660459",0.6,0
"96",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",2.23,0
"97",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",89,0
"98",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",1.33,0
"99",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",53,0
"100",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",4,0
"101",2015-01-28,"Corporate Services","Central Services To The Public","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660460",0.6,0
"102",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660552",0.6,0
"103",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660552",0.16,0
"104",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660552",6.2,0
"105",2015-01-28,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201660552",4,0
"106",2015-01-30,"Finance And Property","Central Support","Office Furniture","Office & commercial furniture","WWW.RHODESANDSCHOLES.C",356,0
"107",2015-01-14,"Chief Executive Department","Holding Account","Training - Directorate Delivery & Improv","Government services","DSA THEORY TEST",28,0
"108",2015-01-14,"Chief Executive Department","Holding Account","Training - Directorate Delivery & Improv","Government services","DSA THEORY TEST",12,0
"109",2015-01-02,"Corporate Services","Corporate & Democratic Core","Mobile Telephones","Phone services","VODAFONE PAYG MBB TOPU",5,0
"110",2015-01-08,"Corporate Services","Environment and Regulatory Services","Non Training Plan - Course Fees","Membership organisations","CIEH LIMITED",39,0
"111",2015-01-12,"Corporate Services","Corporate & Democratic Core","Text Books and Journals","Computers, peripherals & software","ISSUU",26.6,0
"112",2015-01-14,"Corporate Services","Central Support","Professional Subscriptions","Professional services","WWW.BCS.ORG",175,0
"113",2015-01-22,"Corporate Services","Central Support","Uniforms","Womens clothes shops","BONMARCHE.CO.UK",75.99,0
"114",2015-01-29,"Corporate Services","Central Support","Purchase of Computer Equipment","Miscellaneous retail","Amazon UK Marketplace",3.78,0
"115",2015-01-29,"Planning & Build Control","Planning Services","Mobile Telephones","Miscellaneous retail","Amazon UK Marketplace",16.6,0
"116",2015-01-30,"Chief Executive Department","Central Support","Purchase of Computer Equipment","Book stores","Amazon Svcs Europe,SAR",11.93,0
"117",2015-01-05,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",28.33,0
"118",2015-01-14,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",55,0
