"","Department Family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount"
"53","Department of Health","Leicestershire Partnership NHS Trust",2012-09-18,"Crs_NHS_LT1y -Resus Inventory Supplied.","Balance Sheet Collection","NHS SUPPLY CHAIN (ST1450)","1013090354",71381.23
"54","Department of Health","Leicestershire Partnership NHS Trust",2012-09-18,"Unitary Payment","Agnes Unit Site Services (LD)","ARDEN PARTNERSHIP (LEICESTER) LTD","0015.",98482.01
"55","Department of Health","Leicestershire Partnership NHS Trust",2012-09-19,"Payroll Deductions - Kiddi Vouchers","Balance Sheet Collection","WIDER PLAN LTD","1260197",40651.14
"56","Department of Health","Leicestershire Partnership NHS Trust",2012-09-19,"External Consultancy Fees","Cost Improvement Programme (CIP)","INVERTO UK LTD","LEIC1207003",26600
"57","Department of Health","Leicestershire Partnership NHS Trust",2012-09-21,"Network Costs - WAN Maint","Health Informatics Service - Expenditure","VIRGIN MEDIA BUSINESS","262421-069",43999.91
"58","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Admin & Help Desk","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",4004.03
"59","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Adult City West CMHT - BHSCC","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",231.18
"60","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Adult County Charnwood CMHT - Loughborough Base","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",573.86
"61","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Adult County North West Leicestershire CMHT","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",710.5
"62","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Adult County South Leicestershire CMHT","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",819.96
"63","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Adult County West Leicestershire CMHT","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",587.14
"64","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Assertive Outreach Services","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",57.6
"65","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Bradgate Unit Site Services","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",5166.79
"66","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Brandon Unit Administration","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",2189.4
"67","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Bridge Park Plaza (Riverside)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",549.73
"68","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","CAMHS Management","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",1620.48
"69","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Corporate Community","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",2748.42
"70","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Dynamic Psychotherapy Services (DPS)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",64.51
"71","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Early Intervention Services (EIS/PIER)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",399.37
"72","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Evington Ctr Site Services","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",1199.38
"73","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Forensic Services - HPC Low Secure","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",70.2
"74","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Hinckley & Bosworth CMHT","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",465.12
"75","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Jasmine Centre","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",342.62
"76","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Learning & Development","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",18.67
"77","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","METT Centre (Rehab Services)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",159.18
"78","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Merlyn Vaz HSCC","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",3488.23
"79","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Mill Lodge","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",375.78
"80","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","New Parks HC Premises","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",835.84
"81","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","North West Adult City CMHT","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",14.4
"82","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","OSL House Site Services","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",735.17
"83","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Oakham House","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",465.52
"84","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Open Mind Services (IAPT City)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",15.6
"85","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Paget House","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",740.89
"86","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Pasley Road HC Premises","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",426.26
"87","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Personality Disorder Services (PDS)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",386.22
"88","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Prince Philip House","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",2300.52
"89","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Rothesay Site Services (FYPC)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",214.14
"90","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Rushey Mead HC Premises","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",365.46
"91","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Call charges","South Wigston Health Centre","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",14.4
"92","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Springfield Road HC","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",769.32
"93","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Staff Accomodation","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",856.19
"94","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Stewart House","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",2280.56
"95","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Support Services (Learn Dis)","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",2204.4
"96","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Trust Headquarters Admin","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",4190.02
"97","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Rental and call charges","Uppingham Road HC","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",497.98
"98","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Valentine Centre","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",1359.25
"99","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Willows Unit","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",596.72
"100","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Winstanley Drive - Learning Disabilities","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",490.56
"101","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone Call charges","Woodgate","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",164.29
"102","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","Woodgate","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",440.4
"103","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Telephone equipment","","VIRGIN MEDIA BUSINESS","LEICSRUTVOICE08/12C",512.4
"104","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Network Costs - WAN Maint","Health Informatics Service - Expenditure","VIRGIN MEDIA BUSINESS","60015162",15000
"105","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Computer Software / License  Fees","Information Services","VIRGIN MEDIA BUSINESS","60015162",28777.78
"106","Department of Health","Leicestershire Partnership NHS Trust",2012-09-24,"Rent","Syston Health Centre","SYSTON HEALTH CONSORTIUM","38/12.13",36900
"107","Department of Health","Leicestershire Partnership NHS Trust",2012-09-26,"Network Costs - WAN Maint","Health Informatics Service - Expenditure","VIRGIN MEDIA BUSINESS","919266-016",22206.26
"108","Department of Health","Leicestershire Partnership NHS Trust",2012-09-26,"WIP Project Not in BS - I T Equipment","Work in Progress","DELL COMPUTERS","7401964718",47343.6
"109","Department of Health","Leicestershire Partnership NHS Trust",2012-09-27,"Drugs","Dementia Related Drugs and Investigations","LLOYDS PHARMACY","17232",74413.15
"110","Department of Health","Leicestershire Partnership NHS Trust",2012-09-27,"Crs_NHS_LT1y -Resus Inventory Supplied.","Balance Sheet Collection","NHS SUPPLY CHAIN (ST1450)","1013094397",83077.49
"111","Department of Health","Leicestershire Partnership NHS Trust",2012-09-28,"Insurance Costs","Chief Executives Office","NHS LITIGATION AUTHORITY (ST1150)","SICX/00069788",42944
