"","Payment Date","Expense Type","Expense Area","Supplier Name","Transaction Ref","Line No","Line Value"
"68",2013-03-25,"Prepayments Other","Debtors - Prepayments","Hortons' Estate Limited","0000179951","003",59897.25
"69",2013-03-25,"Prepayments Other","Debtors - Prepayments","Coventry City Council","0000181760","001",175447.5
"70",2013-03-25,"Drugs","Director of Op Management","Lloyds Pharmacy","0000181866","001",42245.89
"71",2013-03-25,"Drugs","Director of Op Management","Lloyds Pharmacy","0000181866","002",26.25
"72",2013-03-25,"Drugs","Director of Op Management","Lloyds Pharmacy","0000181866","003",32145.91
"73",2013-03-25,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000181866","004",12575.18
"74",2013-03-25,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000181866","005",112.99
"75",2013-03-25,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000181866","006",14463.33
"76",2013-03-25,"Drugs","LD - Medical","Lloyds Pharmacy","0000181866","007",524.35
"77",2013-03-25,"Drugs","LD - Medical","Lloyds Pharmacy","0000181866","008",5.87
"78",2013-03-25,"Drugs","LD - Medical","Lloyds Pharmacy","0000181866","009",6690.94
"79",2013-03-25,"Drugs","MH Management","Lloyds Pharmacy","0000181866","010",22425.56
"80",2013-03-25,"Drugs","MH Management","Lloyds Pharmacy","0000181866","011",13.04
"81",2013-03-25,"Drugs","MH Management","Lloyds Pharmacy","0000181866","012",11386
"82",2013-03-25,"External Contracts Pharmacy","Medicine Management","Lloyds Pharmacy","0000181866","013",37304.29
"83",2013-03-25,"software","Corporate Systems","Orion Health Ltd.","0000179714","001",85000
"84",2013-03-25,"Purchase of H'Care Vol Sector","Fast Response","Methodist Homes","0000177144","001",33099.2
"85",2013-03-25,"PFI Prepayment","Debtors - Prepayments","The Cov & Rugby Hospital Company PLC","0000181621","001",1275226.68
"86",2013-03-25,"Contract : Other External","Caludon Centre PFI","The Cov & Rugby Hospital Company PLC","0000181621","002",10.25
"87",2013-03-25,"hardware","IT Strategy","Dell Incorporated","0000178961","001",85155.6
"88",2013-03-21,"prof fees architects","CoE Secondary Care MH St Mich","The Design Buro","0000181234","001",33233
"89",2013-03-21,"Postage & Carriage","Facilities","Coventry Primary Care Trust","0000175966","001",25287.63
"90",2013-03-21,"non - healthcare - nhs trusts","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000179785","001",115303
"91",2013-03-21,"NHS Clinical Services","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000179785","002",-4422
"92",2013-03-21,"non - healthcare - nhs trusts","Chaplaincy","University Hosp Cov&Warwick NHS Trust","0000179785","003",4333
"93",2013-03-21,"NHS Clinical Services","Lakeview Clinic","University Hosp Cov&Warwick NHS Trust","0000179785","004",6770
"94",2013-03-21,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000179785","005",202
"95",2013-03-21,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000179785","006",68833
"96",2013-03-21,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000179785","007",112781
"97",2013-03-21,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000179785","008",358
"98",2013-03-21,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000179785","009",1365
"99",2013-03-21,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000179785","010",581
"100",2013-03-21,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000179785","011",4161
"101",2013-03-21,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000179785","012",6451
"102",2013-03-21,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000179785","013",4898
"103",2013-03-21,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000179785","014",-529
"104",2013-03-21,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000179785","015",1221
"105",2013-03-21,"electricity","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000179785","017",16667
"106",2013-03-21,"Training Expenses","Corporate - Train & Develop","City College Coventry","0000180981","001",39896
"107",2013-03-21,"Postage & Carriage","Facilities","Coventry Primary Care Trust","0000177850","001",25287.63
"108",2013-03-20,"Srv Rec Non Hcare FT's","Payroll SLA","Calderstones Partnership NHS FT","0000181195","001",25111
"109",2013-03-20,"software","CDT Managment","Footwork Solutions Ltd","0000181228","001",34264.8
"110",2013-03-20,"non - healthcare - nhs trusts","Operations Division Management","University Hosp Cov&Warwick NHS Trust","0000151022","001",89977
"111",2013-03-20,"non - healthcare - nhs trusts","Operations Division Management","University Hosp Cov&Warwick NHS Trust","0000181193","001",51079.39
"112",2013-03-20,"Srv Rec Non Hcare FT's","Payroll SLA","Calderstones Partnership NHS FT","0000181202","001",25100
"113",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000148090","001",608
"114",2013-03-20,"Data Lines","IT Services","University Hosp Cov&Warwick NHS Trust","0000148090","002",18319
"115",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000148090","003",17199
"116",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000148090","004",77318
"117",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000148090","005",11055
"118",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148090","006",1073
"119",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148090","007",4093
"120",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148090","008",1745
"121",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148090","009",12568
"122",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148090","010",1786
"123",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148090","011",8935
"124",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148090","012",1378
"125",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148090","013",4733
"126",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148090","014",5262
"127",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148090","015",1608
"128",2013-03-20,"Continence Products","Continence","Abena UK  Limited","0000180969","001",39003.22
"129",2013-03-20,"Continence Products","Continence","Abena UK  Limited","0000180969","002",1470.52
"130",2013-03-20,"electricity","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","001",44000
"131",2013-03-20,"Water","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","002",6000
"132",2013-03-20,"Med & Surg Equip Mtce Contract","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","003",2308
"133",2013-03-20,"non - healthcare - nhs trusts","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","004",9415
"134",2013-03-20,"non - healthcare - nhs trusts","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","005",11342
"135",2013-03-20,"NHS Clinical Services","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130275","006",9636
"136",2013-03-20,"NHS Clinical Services","Psychology Eating Disorders","University Hosp Cov&Warwick NHS Trust","0000130275","007",2304
"137",2013-03-20,"non - healthcare - nhs trusts","Chaplaincy","University Hosp Cov&Warwick NHS Trust","0000130275","008",13000
"138",2013-03-20,"NHS Clinical Services","Lakeview Clinic","University Hosp Cov&Warwick NHS Trust","0000130275","009",9000
"139",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000130275","010",608
"140",2013-03-20,"PL Suspense","Creditors - Accruals & Def Inc","University Hosp Cov&Warwick NHS Trust","0000130275","011",20542
"141",2013-03-20,"Data Lines","IT Services","University Hosp Cov&Warwick NHS Trust","0000130275","012",18319
"142",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000130275","013",7434
"143",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000130275","014",1833
"144",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000130275","015",35057
"145",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000130275","016",42261
"146",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000130275","017",11055
"147",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130275","018",1073
"148",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130275","019",4093
"149",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130275","020",1745
"150",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000130275","021",14354
"151",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000130275","022",10313
"152",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130275","023",4733
"153",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130275","024",5262
"154",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130275","025",1609
"155",2013-03-20,"electricity","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","001",44000
"156",2013-03-20,"Water","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","002",6000
"157",2013-03-20,"Med & Surg Equip Mtce Contract","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","003",1539
"158",2013-03-20,"Med & Surg Equip Mtce Contract","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","004",769
"159",2013-03-20,"non - healthcare - nhs trusts","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","005",9415
"160",2013-03-20,"non - healthcare - nhs trusts","Caludon Building Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","006",11342
"161",2013-03-20,"NHS Clinical Services","Caludon Patient Costs SLA","University Hosp Cov&Warwick NHS Trust","0000130269","007",9636
"162",2013-03-20,"NHS Clinical Services","Psychology Eating Disorders","University Hosp Cov&Warwick NHS Trust","0000130269","008",2304
"163",2013-03-20,"non - healthcare - nhs trusts","Chaplaincy","University Hosp Cov&Warwick NHS Trust","0000130269","009",13000
"164",2013-03-20,"NHS Clinical Services","Lakeview Clinic","University Hosp Cov&Warwick NHS Trust","0000130269","010",9000
"165",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000130269","011",608
"166",2013-03-20,"PL Suspense","Creditors - Accruals & Def Inc","University Hosp Cov&Warwick NHS Trust","0000130269","012",20542
"167",2013-03-20,"Data Lines","IT Services","University Hosp Cov&Warwick NHS Trust","0000130269","013",18319
"168",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000130269","014",7434
"169",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000130269","015",1833
"170",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000130269","016",42261
"171",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000130269","017",35057
"172",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000130269","018",11055
"173",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130269","019",1073
"174",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130269","020",4093
"175",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000130269","021",1745
"176",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000130269","022",14354
"177",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000130269","023",10313
"178",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130269","024",4733
"179",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130269","025",5262
"180",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000130269","026",1609
"181",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000148089","001",608
"182",2013-03-20,"Data Lines","IT Services","University Hosp Cov&Warwick NHS Trust","0000148089","002",18319
"183",2013-03-20,"NHS Clinical Services","Dental","University Hosp Cov&Warwick NHS Trust","0000148089","003",17199
"184",2013-03-20,"NHS Clinical Services","CommunityServices Pathway Mgmt","University Hosp Cov&Warwick NHS Trust","0000148089","004",77318
"185",2013-03-20,"Med & Surg Equip Mtce Contract","Estates","University Hosp Cov&Warwick NHS Trust","0000148089","005",11055
"186",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148089","006",1073
"187",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148089","007",4093
"188",2013-03-20,"NHS Clinical Services","Audiology","University Hosp Cov&Warwick NHS Trust","0000148089","008",1745
"189",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148089","009",12568
"190",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148089","010",1786
"191",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148089","011",8935
"192",2013-03-20,"NHS Clinical Services","Child Health","University Hosp Cov&Warwick NHS Trust","0000148089","012",1378
"193",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148089","013",4733
"194",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148089","014",5262
"195",2013-03-20,"NHS Clinical Services","Clinical Assessment Services","University Hosp Cov&Warwick NHS Trust","0000148089","015",1608
"196",2013-03-20,"Service Charge","Estates","Coventry Primary Care Trust","0000180771","001",37224
"197",2013-03-18,"Laboratory External Tests","Integrated Sexual Health Servi","University Hosp Cov&Warwick NHS Trust","0000177828","001",128621.5
"198",2013-03-18,"Laboratory External Tests","Chlamydia","University Hosp Cov&Warwick NHS Trust","0000177828","002",27393.5
"199",2013-03-18,"Drugs","Integrated Sexual Health Servi","Lloyds Pharmacy","0000180674","001",254842.61
"200",2013-03-18,"Laboratory External Tests","Chlamydia","University Hosp Cov&Warwick NHS Trust","0000179816","001",27393.5
"201",2013-03-18,"Laboratory External Tests","Integrated Sexual Health Servi","University Hosp Cov&Warwick NHS Trust","0000179816","002",128621.5
"202",2013-03-18,"software","IT Strategy","Bytes Software Services","0000180009","001",48527.86
"203",2013-03-18,"Lease Rents","Utilities","Affinity Commercial LLP (Assett Mgt)","0000179936","001",16820.83
"204",2013-03-18,"Prepayments Other","Debtors - Prepayments","Affinity Commercial LLP (Assett Mgt)","0000179936","002",201849.74
"205",2013-03-18,"FP10'S","LD ChildrenCommunityTeam-Wark","Coventry Primary Care Trust","0000180809","001",5871
"206",2013-03-18,"FP10'S","CAMHS - Management","Coventry Primary Care Trust","0000180809","002",162488
"207",2013-03-18,"FP10'S","Director of Op Management","Coventry Primary Care Trust","0000180809","003",293551
"208",2013-03-18,"FP10'S","Pharmacy South Warwickshire","Coventry Primary Care Trust","0000180809","004",73507
"209",2013-03-18,"FP10'S","LD - Medical","Coventry Primary Care Trust","0000180809","005",25773
"210",2013-03-18,"FP10'S","MH Management","Coventry Primary Care Trust","0000180809","006",47930
"211",2013-03-18,"FP10'S","Solihull LD - Ivy Lodge","Coventry Primary Care Trust","0000180809","007",13791
"212",2013-03-18,"FP10'S","Palliative Care","Coventry Primary Care Trust","0000180809","008",1211
"213",2013-03-18,"FP10'S","Unscheduled Care","Coventry Primary Care Trust","0000180809","009",26161
"214",2013-03-18,"FP10'S","Integrated Sexual Health Servi","Coventry Primary Care Trust","0000180809","010",269
"215",2013-03-18,"FP10'S","Child Development Unit","Coventry Primary Care Trust","0000180809","011",40651
"216",2013-03-18,"FP10'S","Fast Response","Coventry Primary Care Trust","0000180809","012",2423
"217",2013-03-18,"FP10'S","Clinical Assessment Services","Coventry Primary Care Trust","0000180809","013",12500
"218",2013-03-18,"other eng plant and equipment","Backlog Maintenance","Trend Control Systems Ltd","0000179190","001",18717.44
"219",2013-03-18,"other eng plant and equipment","Backlog Maintenance","Trend Control Systems Ltd","0000179190","002",15548.95
"220",2013-03-18,"other eng plant and equipment","Backlog Maintenance","Trend Control Systems Ltd","0000179190","003",235.53
"221",2013-03-14,"hardware","Corporate Systems","Dell Incorporated","0000176012","001",35295.37
"222",2013-03-14,"hardware","IT Strategy","Dell Incorporated","0000178970","001",85155.6
"223",2013-03-14,"hardware","IT Strategy","Dell Incorporated","0000178970","002",2321.7
"224",2013-03-14,"Training Expenses","SIFT","South Warwickshire General Hosp NHS Trust","0000171140","001",67331.52
"225",2013-03-14,"bldg-fittings","Hazelwood Inpatient Rehab","J F Kay & Co.","0000180215","001",150244.87
"226",2013-03-14,"bldg-fittings","Brooklands Business Case","Harrabin Construction Ltd","0000180262","001",180265.38
"227",2013-03-14,"hardware","IT Strategy","Dell Incorporated","0000179094","001",42577.8
"228",2013-03-14,"hardware","IT Strategy","Dell Incorporated","0000179094","002",1584
"229",2013-03-14,"hardware","IT Strategy","Dell Incorporated","0000179094","003",960
"230",2013-03-14,"Srv Rec Non Hcare FT's","Unscheduled Care","West Midlands Ambulance Service NHS Trust","0000180165","001",29439.42
"231",2013-03-11,"Legal/Prof Fees","IAPT New Loc Leads","Coventry Mind","0000178543","001",47316
"232",2013-03-11,"External Contracts Pharmacy","Medicine Management","Lloyds Pharmacy","0000180027","001",36358.96
"233",2013-03-11,"Drugs","Director of Op Management","Lloyds Pharmacy","0000180027","002",42111.27
"234",2013-03-11,"Drugs","Director of Op Management","Lloyds Pharmacy","0000180027","003",20.4
"235",2013-03-11,"Drugs","Director of Op Management","Lloyds Pharmacy","0000180027","004",44589.89
"236",2013-03-11,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000180027","005",14330.57
"237",2013-03-11,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000180027","006",85.21
"238",2013-03-11,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000180027","007",16581.25
"239",2013-03-11,"Drugs","LD - Medical","Lloyds Pharmacy","0000180027","008",555.73
"240",2013-03-11,"Drugs","LD - Medical","Lloyds Pharmacy","0000180027","009",35.24
"241",2013-03-11,"Drugs","LD - Medical","Lloyds Pharmacy","0000180027","010",6879.84
"242",2013-03-11,"Drugs","MH Management","Lloyds Pharmacy","0000180027","011",28612.81
"243",2013-03-11,"Drugs","MH Management","Lloyds Pharmacy","0000180027","012",13.46
"244",2013-03-11,"Drugs","MH Management","Lloyds Pharmacy","0000180027","013",11305.79
"245",2013-03-07,"Lease Rents","Estates","Coventry Primary Care Trust","0000178284","001",284780
"246",2013-03-07,"Rates","Estates","Coventry Primary Care Trust","0000178284","002",33921
"247",2013-03-07,"Telephone Rental and call char","Estates","Coventry Primary Care Trust","0000178284","003",11173
"248",2013-03-07,"Legal/Prof Fees","Estates","Coventry Primary Care Trust","0000178284","004",2564
"249",2013-03-07,"Service Charge","Estates","Coventry Primary Care Trust","0000178284","005",20011
"250",2013-03-07,"Contract : Premises Security","Estates","Coventry Primary Care Trust","0000178284","006",12761
"251",2013-03-07,"Insurance Costs","Estates","Coventry Primary Care Trust","0000178284","007",4502
"252",2013-03-07,"Other Utility Fuels","Estates","Coventry Primary Care Trust","0000178284","008",28856
"253",2013-03-07,"Continence Products","Continence","Abena UK  Limited","0000179064","001",64082.58
"254",2013-03-07,"Continence Products","Continence","Abena UK  Limited","0000179064","002",1394.26
"255",2013-03-07,"bldg-fittings","Male Low Secure","Arthur M Griffiths & Son Ltd","0000179591","001",206572.72
"256",2013-03-07,"Srv Rec Non Hcare FT's","Payroll SLA","Calderstones Partnership NHS FT","0000178839","001",26218
"257",2013-03-07,"Lease Rents","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","001",53547.5
"258",2013-03-07,"Building & Eng Mtce Contracts","Solihull TCS - Estates Recharg","Solihull Care Trust","0000177845","002",29760
