"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number"," Amount ","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Number"
"28","Defra","Cefas",2013-02-07,"Data Collection Services","Monitoring and Programme Management","Thomson Ecology","20041884",35890,"Analysis of 194 samples from the Southern North Sea","SG6 2TS","STAN","","C5787","Monitoring and Programme Management",""
"29","Defra","Cefas",2013-02-08,"Technical Services","Aquatic Health & Hygiene","National Institute for Public Health and the Environment","20041436",20832.7,"Detection of food borne viruses in food ","3721 MA","PB","","C5449","Aquatic Health & Hygiene",""
"30","Defra","Cefas",2013-02-14,"Water & Sewage","Corporate","DTZ DTL Clients A/C Re Defra","20042049",43508.15,"Charges 1/10-31/12/12 Weymouth","LS1 2ND","STAN","","50100","Corporate",""
"31","Defra","Cefas",2013-02-14,"CILOR Charge in lieu of rates","Corporate","DTZ DTL Clients A/C Re Defra","20042049",23938.33,"Charges 1/10-31/12/12 Weymouth","LS1 2ND","STAN","","50100","Corporate",""
"32","Defra","Cefas",2013-02-14,"Facilities Management","Corporate","DTZ DTL Clients A/C Re Defra","20042073",48998.47,"Facilities management charges 01/03/13-31/03/13","LS1 2ND","STAN","","50100","Corporate",""
"33","Defra","Cefas",2013-02-14,"Facilities Management","Corporate","DTZ DTL Clients A/C Re Defra","20042074",93208.76,"Facilities management charges 01/03/13-31/01/13","LS1 2ND","STAN","","50100","Corporate",""
"34","Defra","Cefas",2013-02-14,"Vehicle Long Term Leasing","Aquatic Health & Hygiene","Lex Autolease Ltd","20041981",26083.92,"Lease rental and service rental","BL9 8RT","STAN","","FA001","Aquatic Health & Hygiene",""
"35","Defra","Cefas",2013-02-14,"Lab Services","Monitoring and Programme Management","TRINITY HOUSE","20042197",22436.67,"Guard buoy hire","CO12 3JW","STAN","","C3212","Monitoring and Programme Management",""
"36","Defra","Cefas",2013-02-22,"Lab Consumables","Fisheries","R S AQUA LTD","20042361",33108,"Bluetooth software including cases, tags and acoustic receivers for analysing fish movement in the River Frome","GU34 3PL","STAN","","C5705","Fisheries",""
"37","Defra","Cefas",2013-02-22,"Lab Services","Monitoring and Programme Management","NORTHERN LIGHTHOUSE BOARD","20042246",22239.04,"Buoy maintenance 1/12/2012 - 30/11/2013","EH2 3DA","STAN","","C3212","Monitoring and Programme Management",""
"38","Defra","Cefas",2013-02-22,"Technical Services","Monitoring and Programme Management","TITAN ENVIRONMENTAL SURVEYS LTD","20042294",21950.1,"Sidescan sonor survey","CF31 3BQ","STAN","","C5814","Monitoring and Programme Management",""
"39","Defra","Cefas",2013-02-22,"Technical Services","Monitoring and Programme Management","TITAN ENVIRONMENTAL SURVEYS LTD","20042294",51216.9,"Sidescan sonor survey","CF31 3BQ","STAN","","C5813","Monitoring and Programme Management",""
"40","Defra","Cefas",2013-02-28,"Vehicle Long Term Leasing","Aquatic Health & Hygiene","Lex Autolease Ltd","20042806",26126.4,"Lease rental 1/3/13 - 28/2/14","BL9 8RT","STAN","","FA001","Aquatic Health & Hygiene",""
"41","Defra","Cefas",2013-02-28,"Data Collection Services","Environment & Ecosystems","Liquid Robotics Inc","20042232",31450.24,"Wave Glider","94089","STANSME","","DP321","Environment & Ecosystems",""
"42","Defra","MMO   ",2013-02-11,"Other Current Payments E","","Directflight Ltd","10081",38274.86,"Marine Management aerial surveillance hours incurred in relation to coastal enforcement  January 2013","MK43 0AN","SME","","00000000","Expense",""
"43","Defra","MMO   ",2013-02-05,"Other Current Payments E","","The Scottish Government","86005679",107702,"Marine Management aerial surveillance hours incurred in relation to coastal enforcement  December 2012","EH6 6QQ","","","00000000","Expense",""
"44","Defra","MMO   ",2013-02-05,"Other Current Payments E","","Ministry Of Defence","7296034",1268750,"Marine Management offshore surveillance hours incurred in relation to coastal enforcement - October to December 2012","L2 3YL","","","00000000","Expense",""
"45","Defra","MMO   ",2013-02-05,"Other Current Payments E","","The Scottish Government","86005678",83061.33,"Marine Management aerial surveillance hours incurred in relation to coastal enforcement  November-December 2012","EH6 6QQ","","","00000000","Expense",""
"46","Defra","MMO   ",2013-02-15,"Training - Other External","","Capita Business Services Ltd","I4514",61723.2,"Leading with Purpose Training Programme for Marine Management Organisation staff","SW1H 0XA","","","00000000","Expense",""
"47","Defra","MMO   ",2013-02-19,"Software Services/Non-Standard Software","","Department Of Energy and Climate Change","1100521",164562,"Run and Maintain costs for Hosting, Disaster Recovery and Application Support for Marine Management Organisation 2012/13","YO1 7PX","SME","","00000000","Expense",""
"48","Defra","MMO   ",2013-02-05,"Clearing Construction in Progress (I.T.)","","Amor Business Technology Solutions Limited","90000964",61580.7,"Costs relating to the development of the new European Fisheries Grant database","PA4 9LH","","","00000000","Asset",""
"49","Defra","MMO   ",2013-02-05,"Clearing Construction in Progress (I.T.)","","Amor Business Technology Solutions Limited","90000675",124653,"Costs relating to the development of the new European Fisheries Grant database","PA4 9LH","","","00000000","Asset",""
"50","Defra","MMO   ",2013-02-11,"Agency IT Services (IBM)","","DEFRA","1000021549",603718.8,"Recharge for IBM services April to July 2013","YO1 7PX","","","00000000","Expense",""
"51","Defra","MMO   ",2013-02-01,"Other Current Payments E","","Atlantic Fresh Limited","FEF0756240113",32618.36,"European Fisheries Fund grant payment","DN31 3AG","SME","","00000000","Expense",""
"52","Defra","MMO   ",2013-02-15,"Other Current Payments E","","Vistgate Ltd T/A Ocean Fish","FEF0185080213",30566.23,"European Fisheries Fund grant payment","PL26 8LX","SME","","00000000","Expense",""
"53","Defra","MMO   ",2013-02-15,"Rents to Landlords","","D T Z","40800",80788.23,"Marine Management Organisation October to December 2012 estates charges including rent and utilities","B4 6AJ","","","00000000","Expense",""
"54","Defra","NFC",2013-02-27,"Grant","Forest Creation","Grant recipient","109814",70000,"Changing Landscapes Scheme grant","","","","","",""
"55","Defra","NE",2013-02-04,"Grants & contributions","People, Landscape & Biodiversity","Cumbria Wildlife Trust","SIN000542",110875,"Foulshaw Moss Site of Special Scientific Interest restoration grant - peat bunding work","YO1 7PX","","","","OGD",""
"56","Defra","NE",2013-02-04,"Service charges","Corporate Services","DEFRA","1000021610",868123.2,"Defra Shared Services charges","RG24 8NA","","23588","","Supplier",""
"57","Defra","NE",2013-02-04,"Telephony costs","Corporate Services","Level 3 Communications UK Limited","80316401",53630.61,"Charges for telephony and videoconference services - December 2012","DT1 1XJ","","","","Local Authority",""
"58","Defra","NE",2013-02-06,"Grants & contributions","People, Landscape & Biodiversity","Dorset County Council","ERS-981779-42646",60264.02,"Nature Improvement Area Fund, Wild Purbeck, 2012-2013","NG7 6NX","","","","Public Body",""
"59","Defra","NE",2013-02-06,"Grants & contributions","People, Landscape & Biodiversity","Framework","ERS-981776-42647",31736.94,"Access to Nature grant","GU1 2LD","","FRW10040-00","","Supplier",""
"60","Defra","NE",2013-02-06,"IT services, equipment & consumables","Corporate Services","IBM United Kingdom Ltd","5807121583",48264.89,"Application development costs","PE1 1JY","","24903","","Defra NDPB",""
"61","Defra","NE",2013-02-06,"Grants & contributions","Science, Evidence & Advice","Joint Nature Conservation Committee","SI3720",26000,"National Biodiversity Network Gateway Memorandum of Agreement - 2012/13","RG24 8NA","","23588","","Supplier",""
"62","Defra","NE",2013-02-06,"Telephony costs","Corporate Services","Level 3 Communications UK Limited","80319307",53630.61,"Charges for telephony and videoconference services - January 2013","","","20373","","OPB - Other",""
"63","Defra","NE",2013-02-06,"Other programme expenditure","People, Landscape & Biodiversity","The Meteorological Office","IOD85078",29239.2,"Met Office Fire Severity Index service","GU1 2LD","","FRW10040-00/24546","","Supplier",""
"64","Defra","NE",2013-02-08,"IT services, equipment & consumables","Corporate Services","IBM United Kingdom Ltd","5801130770",33406.91,"Application development costs","BD1 3AZ","SME","","","Supplier",""
"65","Defra","NE",2013-02-08,"Travel & subsistence costs","Corporate Services","Redfern Travel Ltd","49790",319441.11,"Monthly charge for rail travel costs - January 2013","OX11 0QR","","24109","","Supplier",""
"66","Defra","NE",2013-02-08,"Advisory Services","Customers & Land Management","Ricardo-A E A Ltd","6150569",27489.6,"150 One-to-One On-Farm visits and reports in Cornwall","EC2M 4BA","","","","Supplier",""
"67","Defra","NE",2013-02-08,"RBS purchases","Corporate Services","Royal Bank Of Scotland","NEJAN2013BILL",371172.18,"Monthly payment for Government Procurement Card expenditure","BH1 4AP","SME","25075","","Supplier",""
"68","Defra","NE",2013-02-12,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity","Amphibian and Reptile Conservation","PO882737",54000,"Contribution to amphibian and reptiles species recovery projects","SE1 7SP","SME","24677","","Supplier",""
"69","Defra","NE",2013-02-12,"Asset purchases","Corporate Services","Bramble C C Ltd","2652",37933.2,"Map window interface design for 'MAGIC in the Cloud'","NR33 0HT","","24035","","Defra Executive Agency",""
"70","Defra","NE",2013-02-12,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice","C E F A S","8002549",75993.6,"Natura 2000 Habitats Directive - Wash & North Norfolk Coast subtidal boulder and cobble monitoring","NR33 0HT","","24035","","Defra Executive Agency",""
"71","Defra","NE",2013-02-12,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice","C E F A S","8002548",48150,"Berwickshire and North Northumberland Coast European Marine Site multibeam and ground truthing survey","NR33 0HT","","24035","","Defra Executive Agency",""
"72","Defra","NE",2013-02-12,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice","C E F A S","8002550",47868.6,"Natura 2000 Habitats Directive - Lynn Knock monitoring reef acoustic survey","NR33 0HT","","24035","","Defra Executive Agency",""
"73","Defra","NE",2013-02-12,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice","C E F A S","8002551",38899.2,"Start Point to Plymouth Sound and Eddystone Reef candidate Special Areas of Conservation (cSAC) multibeam survey (and management costs)","B4 6HT","","","","Supplier",""
"74","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40838",53225.06,"Rates for the Ashford Office","B4 6HT","","","","Supplier",""
"75","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40695",52890.81,"Rates for the Winchester Office","B4 6HT","","","","Supplier",""
"76","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40849",48345.27,"Rates for the Telford Office","B4 6HT","","","","Supplier",""
"77","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40812",47925.32,"Rates for the Norwich Office","B4 6HT","","","","Supplier",""
"78","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40825",45046.61,"Rates for the Manchester Office","B4 6HT","","","","Supplier",""
"79","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40840",36833.12,"Rates for the Exeter Office","B4 6HT","","","","Supplier",""
"80","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40748",33853.99,"Rates for the York Office","B4 6HT","","","","Supplier",""
"81","Defra","NE",2013-02-12,"Rent, management & utility charges","Corporate Services","D T Z","40829",33061.02,"Rates for the Kendal Office","BD1 3AZ","SME","","","Supplier",""
"82","Defra","NE",2013-02-12,"Travel & subsistence costs","Corporate Services","Redfern Travel Ltd","39411",96333.2,"Monthly charge for rail travel costs","MK43 0PR","SME","25080","","Non Supplier",""
"83","Defra","NE",2013-02-12,"Grants & contributions","Customers & Land Management","The Marston Vale Trust.","411",25000,"Marston Vale Community Forest timber production","1043 NX","","","","Supplier",""
"84","Defra","NE",2013-02-14,"Library costs","Corporate Services","Elsevier B V","M176820",29493.21,"Online access to four subject collections through a Pan-Government Agreement. This provides full text access to approximately 550 titles and many more scientific citations","NE46 2JT","SME","23623","","Supplier",""
"85","Defra","NE",2013-02-14,"Grants & contributions","People, Landscape & Biodiversity","Hadrians Wall Heritage Ltd","ERS-981856-42683",28442,"Grant payment for Hadrian's Wall Path Trail Management","SE1 1FY","","","","Supplier",""
"86","Defra","NE",2013-02-14,"Grants & contributions","People, Landscape & Biodiversity","Ipsos Mori","12002422",37800,"Reputation tracker - Customer Survey element","SE1 1FY","","","","Supplier",""
"87","Defra","NE",2013-02-14,"Grants & contributions","People, Landscape & Biodiversity","Ipsos Mori","13000149",-37800,"Reputation tracker - Customer Survey element - Credit","SG19 2DL","","","","Public Body",""
"88","Defra","NE",2013-02-14,"Grants & contributions","People, Landscape & Biodiversity","R S P B","ERS-981862-42667",48810,"Nature Improvement Area Fund, The Dark Peak 2012-2013","BD24 9RH","SME","24631","","Supplier",""
"89","Defra","NE",2013-02-18,"Monitoring, Evaluation & Surveillance costs","Customers & Land Management","PBA Applied Ecology Ltd","PBAI0075",26578.2,"Two seasonal biological baseline surveys for macroinvertebrates and diatoms at four sites in Yorkshire and Humber","TA21 0AW","SME","24139","","Supplier",""
"90","Defra","NE",2013-02-18,"Grants & contributions","Science, Evidence & Advice","Swt (Sales) Ltd","102694",27260.4,"Habitat surveillance Memorandum of Agreement","WV10 6UH","","24525","","Supplier",""
"91","Defra","NE",2013-02-20,"IT services, equipment & consumables","Corporate Services","Atos IT Services UK Ltd","5584124727",897454.8,"Charge for hosting, support and development of the Genesis IT System - January 2013","B1 1BB","","","","Local Authority",""
"92","Defra","NE",2013-02-20,"Grants & contributions","People, Landscape & Biodiversity","Birmingham City Council","ERS-981940-42706",38029.24,"Access to Nature Grant","M50 2GL","SME","","","Non Supplier",""
"93","Defra","NE",2013-02-20,"Grants & contributions","People, Landscape & Biodiversity","Community Forests Northwest Ltd.","ERS-981944-42725",26994.34,"Access to Nature Grant","B4 6HT","","","","Supplier",""
"94","Defra","NE",2013-02-20,"Rent, management & utility charges","Corporate Services","D T Z","40878",302285.91,"Rent for Cambridge office","B4 6HT","","","","Supplier",""
"95","Defra","NE",2013-02-20,"Rent, management & utility charges","Corporate Services","D T Z","40852",172653.56,"Rates for the Peterborough Office (Touthill Close)","B4 6HT","","","","Supplier",""
"96","Defra","NE",2013-02-20,"Rent, management & utility charges","Corporate Services","D T Z","40795",122622.3,"Rates for the Newcastle Office","B4 6HT","","","","Supplier",""
"97","Defra","NE",2013-02-20,"Rent, management & utility charges","Corporate Services","D T Z","40853",112637.61,"Rates for the Leeds Office","B4 6HT","","","","Supplier",""
"98","Defra","NE",2013-02-20,"Rent, management & utility charges","Corporate Services","D T Z","40793",100153.97,"Rates for the Bristol Office","DN18 5JR","SME","","","Supplier",""
"99","Defra","NE",2013-02-20,"Grants & contributions","Prior year cost centres","Humber Inca Ltd","NGVAT",141567.14,"Grant for Marine Conservation Zone Project - Net Gain","NG1 1EA","SME","","","Supplier",""
"100","Defra","NE",2013-02-20,"Grants & contributions","People, Landscape & Biodiversity","Nottinghamshire Wildlife Trust","ERS-981953-42713",46605.6,"Access to Nature Grant","ST17 0WT","SME","","","Public Body",""
"101","Defra","NE",2013-02-20,"Grants & contributions","People, Landscape & Biodiversity","Staffordshire Wildlife Trust","ERS-981946-42715",30973.63,"Access to Nature Grant","RH5 6DG","","24942","","Non Supplier",""
"102","Defra","NE",2013-02-20,"Grants & contributions","People, Landscape & Biodiversity","Surrey Hills AONB","ERS-981896-42726",40278.34,"North Downs Way staff & maintenance 2012-13","NG1 7BJ","","","","Supplier",""
"103","Defra","NE",2013-02-22,"Legal costs","Corporate Services","Browne Jacobson","232108",54726.8,"Legal services","CF3 0EY","SME","25055","","Supplier",""
"104","Defra","NE",2013-02-22,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice","Hyder Consulting Ltd","IUG00013681",32575.8,"Great Crested Newt Evidence Enhancement Project - preparatory fieldwork and pond surveys","BB8 9NW","SME","","","Supplier",""
"105","Defra","NE",2013-02-25,"Land Management payments","Corporate Services","Walshaw Moor Estate Ltd","ERS-982031-43046",850000,"Wildlife Enhancement Scheme agreement","SK4 3GN","SME","23758","","Supplier",""
"106","Defra","NE",2013-02-26,"Staff costs","Science, Evidence & Advice","Apem Ltd","4814",42336,"Infauna analysis of intertidal sediment survey of Severn Estuary","WV10 6UH","","24716","","Supplier",""
"107","Defra","NE",2013-02-26,"Asset purchases","Corporate Services","Atos IT Services UK Ltd","5584125077",78199.48,"Application development costs for the Genesis IT System","WV10 6UH","","24718","","Supplier",""
"108","Defra","NE",2013-02-26,"IT services, equipment & consumables","Corporate Services","Atos IT Services UK Ltd","5584125076",70945.55,"Application development costs for the Genesis IT System","TR4 9DJ","SME","24673","","Supplier",""
"109","Defra","NE",2013-02-26,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity","Cornwall Environmental Consultants Ltd","6894",35970.12,"Habitat survey, West Penwith Moors, Cornwall - 2012/2013","GL16 6BA","","24913","","Defra Executive Agency",""
"110","Defra","NE",2013-02-26,"Grants & contributions","People, Landscape & Biodiversity","Forestry Commission","A390071091",50000,"The Wyre Forest Landscape Partnership project will be looking at Natural England and Forest Enterprise working more closely together and developing a joint vision and management plan for the forest. It will also deliver a green economy study for the forest","PL4 8AA","SME","23895","","Supplier",""
"111","Defra","NE",2013-02-26,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity","University Of Plymouth Enterprise Ltd","6043611",48332.96,"Natural Connections Demonstration Project - Year 1 - 2012/13","LA8 8LX","SME","","","Supplier",""
"112","Defra","NE",2013-02-28,"Grants & contributions","People, Landscape & Biodiversity","Cumbria Wildlife Trust","SIN000551",35000,"To undertake predator control, reserve management and marine surveys","GU1 2LD","","FRW10040-00","","Supplier",""
"113","Defra","NE",2013-02-28,"IT services, equipment & consumables","Corporate Services","IBM United Kingdom Ltd","5802130639",62954.84,"Application development costs","CV8 2LZ","SME","","","Non Supplier",""
"114","Defra","NE",2013-02-28,"Grants & contributions","People, Landscape & Biodiversity","Linking Environment & Farming","ERS-981990-43026",90000,"Access to Nature Grant","EC1V 7QE","","","","Public Body",""
"115","Defra","NE",2013-02-28,"Grants & contributions","People, Landscape & Biodiversity","National Children's Bureau","ERS-982002-43039",39990,"Access to Nature Grant","OX2 7QJ","SME","","","Public Body",""
"116","Defra","NE",2013-02-28,"Grants & contributions","People, Landscape & Biodiversity","The Centre for Sustainable Healthcare","ERS-982014-43043",25102.61,"Access to Nature Grant","","","","","",""
"117","Defra","Fera",2013-02-12,"Scientific Eq: Capital At Cost","Operations Directorate","*Agilent Technologies Uk Ltd","88850",28878.79,"Scientific equipment upgrade including one year hardware support","RG41 5TP","","","SE001969","Administration",""
"118","Defra","Fera",2013-01-23,"Computers: Capital At Cost","Operations Directorate","Dell Corporation Limited","87912",63423.62,"Purchase of a Powervault: a high-performance expandable computer hard drive storage system","RG12 1LF","","","CE000799","Administration",""
"119","Defra","Fera",2013-01-28,"Other Direct","External Affairs Directorate","Dhl International Uk Ltd","88367",28342.16,"Worldwide transport of Test Samples (938 shipments)","TW3 9LP","","","","Administration",""
"120","Defra","Fera",2013-02-21,"Estates Charges (Swm)","Finance And Corporate Services","Dtz","89341",34101.07,"Depreciation and Establishment Costs for Jan 2013","B4 6AJ","","","","Administration",""
"121","Defra","Fera",2013-02-14,"Direct Consumables/Materials","Operations Directorate","Microsensys Gmbh","1838",54788.59,"Radio-frequency identification (RFID) kits ",".","","","W5ZT2000","Grant",""
"122","Defra","Fera",2013-01-24,"Buildings: Capital at cost","Finance and Corporate Services","Shepherd Engineering Services","87775",300711.29,"Fera chiller replacement works","YO24 1GH","","","BD000181","Administration",""
"123","Defra","Fera",2012-12-30,"Purchase Of Publications","External Affairs Directorate","Swets Information Services","86457",43042.56,"SWETS additional periodicals for 2012","OX14 1UQ","","","","Administration",""
"124","Defra","Fera",2013-01-15,"Legal Fees","Finance And Corporate Services","The Treasury Solicitor","87933",47358.3,"Charges for professional work 01/01/13-31/03/13","WC2B 4TS","","","","Administration",""
"125","Defra","Fera",2013-02-01,"Student Fees","Operations Directorate","University of Exeter","87996",46216,"Second Year Internships for two students","EX4 4QJ","","","","Administration",""
"126","Defra","Fera",2013-02-01,"Computers: Capital At Cost","External Affairs Directorate","Dell Corporation Limited","88060",57513.6,"Purchase of a Powervault high-performance expandable computer hard drive storage system","RG12 1LF","","","CE000801","Administration",""
"127","Defra","Fera",2013-02-06,"Direct Subcontractors","Operations Directorate","'CEFAS","88459",31000,"Memorandum of Understanding payment for work in developing new tools for tracing pathogens through the food chain and the environment","NR33 0HT","","","Y2DV1000","Administration",""
"128","Defra","Fera",2013-02-07,"It Software Support","External Affairs Directorate","Advanced Business Solutions","86604",63587,"eFinancials Maintainance Timesheets, Oracle Support 01/02/2013 - 31/01/2014","KT11 1TF","","","","Administration",""
"129","Defra","Fera",2013-02-07,"Direct Subcontractors","Operations Directorate","Forestry Commission","88533",764348.59,"Annual Order 2012/13 - General work on the Phytophthora Project","EH12 7AT","","","T5JA7000","Administration",""
"130","Defra","Fera",2013-02-11,"Prepayment Postal Visa Card","Finance And Corporate Services","National Westminster Bank plc","88698",147722.93,"NatWest Procurement card statement","SS1 9AJ","","","","Administration",""
"131","Defra","Fera",2013-02-18,"Scientific Eq: Capital At Cost","Operations Directorate","*Agilent Technologies UK Ltd","88848",59303.42,"Scientific equipment","RG41 5TP","","","SE001971","Administration",""
"132","Defra","Fera",2013-02-21,"Direct Consumables/Materials","Operations Directorate","GFK Kynetec","89132",37375.2,"Provision of arable data 2012 for the pesticide usage survey Feb 2012 to Dec 2012.","RG20 8JE","","","W6AB2030","Administration",""
"133","Defra","Fera",2013-02-26,"Direct Subcontractors","Operations Directorate","Forestry Commission","89674",167681.99,"Additional Clearance Work On Phytophthora Project","EH12 7AT","","","T5JA8010","Administration",""
"134","Defra","AHVLA",2013-02-08,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812121087",29558.24,"County Parish Holdings Allocations for Welsh Government project & AHVLA response to the Task Force on Farming Regulation requirements on County Parish Holdings and standstill","GU1 2LD","","","P10070OT","Expense",""
