"","Department family","Entity","Date","Expense Type","Expense area","Supplier","Purchase invoice number","AP Amount (<U+00A3>)"
"36","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","STOCKPORT NHS FOUNDATION TRUST","40047539",871558
"37","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","COMMUNITY SERVICES","STOCKPORT NHS FOUNDATION TRUST","40047556",1638361
"38","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Serv Recd-F Trsts","COMMUNITY SERVICES","STOCKPORT NHS FOUNDATION TRUST","40047557",132998
"39","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Non Contract","ACUTE COMMISSIONING","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","3110003670",213519.06
"40","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Non Contract","ACUTE COMMISSIONING","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","3110003659",24064.42
"41","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","3110003666",9256437.55
"42","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","BRIDGEWATER HOSPITAL","73",46681.18
"43","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec NHS Trust-Contract Baseline","AMBULANCE SERVICES","NORTH WEST AMBULANCE SERVICE NHS TRUST","4110008671",577018
"44","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec NHS Trust-Contract Baseline","ACUTE COMMISSIONING","PENNINE ACUTE HOSPITALS NHS TRUST","107297",306279
"45","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","MENTAL HEALTH CONTRACTS","PENNINE CARE NHS FOUNDATION TRUST","1010003963",1762581
"46","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-CQUIN","MENTAL HEALTH CONTRACTS","PENNINE CARE NHS FOUNDATION TRUST","1010003963",22032
"47","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","COMMISSIONING - NON ACUTE","HYDE PHYSIOTHERAPY CENTRE","2014004",33833.33
"48","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","SPAMEDICA LTD","NHSTMG015",53737.33
"49","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","SALFORD ROYAL NHS FOUNDATION TRUST","1000150578",146160
"50","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Non Contract","ACUTE COMMISSIONING","SALFORD ROYAL NHS FOUNDATION TRUST","1000150265",34874
"51","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","BMI HEALTHCARE COLLECTIONS","25267",60091.17
"52","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","STOCKPORT NHS FOUNDATION TRUST","40047559",22118
"53","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","COMMISSIONING - NON ACUTE","GO TO DOC LTD","6518",21666.67
"54","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","SPIRE HEALTHCARE LTD","01Y310314FLEXMAN",21235.06
"55","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Non Contract","ACUTE COMMISSIONING","SALFORD ROYAL NHS FOUNDATION TRUST","1000150722",138884
"56","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Voluntary Sector","HOSPICES","WILLOW WOOD HOSPICE","S281",43190
"57","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Voluntary Sector","HOSPICES","WILLOW WOOD HOSPICE","S280",131568
"58","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Clinical&Medical-Commercial Sector","INTERMEDIATE CARE","MERIDIAN HEALTHCARE LTD","50150414",261299.33
"59","Department of Health","NHS Tameside And Glossop CCG",2014-04-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST","2110010871",78356
