"","Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","AP Amount","VAT Registration Number","Purchase Invoice Number"
"44","Department of Health","Wiltshire PCT",2011-11-18,"Commissioning M Health","Placements - Adult Mental Health","SOUTH WEST STRATEGIC HEALTH AUTHORITY",122017,30000,"","6192595"
"45","Department of Health","Wiltshire PCT",2011-11-21,"Commissioning CHC","Other - Non Community","SALISBURY HOSPICE CARE TRUST",126827,61583,"","1222"
"46","Department of Health","Wiltshire PCT",2011-11-21,"Commissioning Gen/Acute","NEW HALL HOSPITAL + ISTC","NEW HALL HOSPITAL",126859,177207.32,"","WILTPCT117"
"47","Department of Health","Wiltshire PCT",2011-11-21,"Local Enhanced Servs GMS","Services for Primary Care","ALLIANCE",127024,61434,"","100053-14-NOV-2011"
"48","Department of Health","Wiltshire PCT",2011-11-21,"Local Enhanced Servs GMS","Services for Primary Care","ALLIANCE",127025,85029,"","100051-14-NOV-2011"
"49","Department of Health","Wiltshire PCT",2011-11-21,"Local Enhanced Servs GMS","Services for Primary Care","NORTH WILTSHIRE PBC CONSORTIUM",127026,97674.75,"","100054-14-NOV-2011"
"50","Department of Health","Wiltshire PCT",2011-11-21,"CTRL Unident Recpts <1Yr","BALANCE SHEET","WILTSHIRE COUNTY COUNCIL",127029,67323,"","100063-17-NOV-2011"
"51","Department of Health","Wiltshire PCT",2011-11-22,"Commissioning CHC","PH - Bowel Screening","SALISBURY NHS FOUNDATION TRUST",130574,34988,"","B007936"
"52","Department of Health","Wiltshire PCT",2011-11-22,"Commissioning Learn Diff","Oxfordshire LD (RHX)","OXFORDSHIRE LEARNING DISABILITY NHS TRUST",130576,-42171,"","900000531"
"53","Department of Health","Wiltshire PCT",2011-11-24,"Commissioning Gen/Acute","ROYAL B + C FT (RDZ)","ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",136719,130161,"654946791","M0132273"
"54","Department of Health","Wiltshire PCT",2011-11-24,"Commissioning CHC","PH - CANCER SCREEN + IMMS","BRISTOL PCT",136733,43069.07,"","5587009"
"55","Department of Health","Wiltshire PCT",2011-11-24,"Legal / Prof Fees","Chief Exec","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",136761,89031.99,"","16924591"
"56","Department of Health","Wiltshire PCT",2011-11-24,"Commissioning Gen/Acute","ROYAL B + C FT (RDZ)","ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",136771,-59905,"654946791","C0009229"
"57","Department of Health","Wiltshire PCT",2011-11-25,"Commissioning CHC","PH - Health Improvement","WILTSHIRE COUNTY COUNCIL",140105,173361.78,"","90119523"
"58","Department of Health","Wiltshire PCT",2011-11-28,"Commissioning CHC","Partnerships - Adult","WILTSHIRE COUNTY COUNCIL",143822,137500,"","90119520"
"59","Department of Health","Wiltshire PCT",2011-11-28,"Commissioning CHC","Partnerships - Adult","WILTSHIRE COUNTY COUNCIL",143823,476281.41,"","90119521"
"60","Department of Health","Wiltshire PCT",2011-11-28,"Commissioning M Health","Partnerships - Adult","WILTSHIRE COUNTY COUNCIL",143824,26655.17,"","90119522"
"61","Department of Health","Wiltshire PCT",2011-11-29,"Commissioning CHC","PH - HEALTH + WELLBEING","WILTSHIRE CITIZENS ADVICE",145347,18500,"","94"
"62","Department of Health","Wiltshire PCT",2011-11-29,"Commissioning CHC","PH - Health Improvement","WILTSHIRE CITIZENS ADVICE",145347,18500,"","94"
