"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number","Amount","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Num"
"13","DEFRA","APHA",2015-01-26,"LVI Claims","Chief Operating Officer DG","TORCH FARM AND EQUINE LTD~136138523","LVI164961",26946.79,"Payment to veterinary practice for services provided in an official capacity on behalf of Animal and Plant Health Agency","EX31 3FG","SME","","00000000","Expense",""
"14","DEFRA","APHA",2015-01-27,"Hard charges","Chief Operating Officer DG","DEFRA","1000044110",771479,"Shared Services service charge - July-September 2014","YO1 7PX","","","HARDSSDC","Expense",""
"15","DEFRA","APHA",2015-01-13,"Other Current Payments UK","","Agri-Food & Biosciences Institute","INV20184",96703.94,"Tests for Distinctness, Uniformity and Stability for National List Herbage candidates for Quarter 2 - July to September 2014","BT9 5PX","","","00000000","Expense",""
"16","DEFRA","APHA",2015-01-06,"Lab & Technical Equipment","","Qiagen Ltd","92757812",84960,"Specialist Laboratory Kits in response to the avian influenza outbreak in the UK","M15 6SH","SME","","AVINOR01","Expense",""
"17","DEFRA","APHA",2015-01-27,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812140421",82791.91,"Modernisation of arrangements for training and certificating Official Veterinarians (OVs) and for commissioning work undertaken by them - September-December 2014","GU1 2LD","SME","","P10066OT","Expense",""
"18","DEFRA ","CCW",2015-01-29,"Consultancy Services","Strategic Projects 8055","KPMG LLP","5500958727",32717.9,"Complaint handling review","WD17 1DE","LARGE","","","Programme","GB 791 7888 59"
"19","DEFRA","Cefas",2015-01-13,"Subscriptions","Corporate","Elsevier Journals","20070850",83522.63,"Annual library publications including online electronic science resources and journals - 2015 ","","STAN","","70000","Subscriptions",""
"20","DEFRA","Cefas",2015-01-22,"Data Collection Services","Aquatic Health & Hygiene","UNIVERSITY OF BIRMINGHAM","20071157",30000,"Research services - ""Can chemical mixture toxicity be predicted to aid environmental risk assessment and regulation""","B15 2TT","STAN","","C5616","Data Collection Services",""
"21","DEFRA","DEFRA",2015-01-16,"Other Current Payments (Evidence R&D)","Policy Delivery DG","A D A S UK Ltd","1301153893880",32449,"Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Hampshire Avon","WV9 5AP","","","00000000","Expense",""
"22","DEFRA","DEFRA",2015-01-20,"Other Current Payments (Evidence R&D)","Policy Delivery DG","A D A S UK Ltd","RIRP081058",31941.25,"Developing a field tool kit for ecological targeting of agricultural diffuse pollution mitigation measures ","WV9 5AP","","Exempt","SFFS0004","Expense",""
"23","DEFRA","DEFRA",2015-01-16,"Other Current Payments (Evidence R&D)","Policy Delivery DG","A H D B","180021259",50000,"Part funding of work to progress the transition to responsibly sourced growing media use within UK horticulture ","CV8 2TL","","Funding","00000000","Expense",""
"24","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","A H D B","180021206",55000,"Provision of an Electronic Movement service for pigs by the British Pig Executive (BPEX) - 2014-15 Quarter 3","CV8 2TL","","Funding","AHDB0002","Expense",""
"25","DEFRA","DEFRA",2015-01-08,"Other Current Payments E","Policy Delivery DG","Acre.","6209",578000,"Rural Community Action Network funding - 2014-15 Quarter 4","GL7 2QY","","Funding","00000000","Expense",""
"26","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal and Plant Health Agency","ERS-551158-51102",70775,"Development of enhanced methods for outbreak investigation and source attribution of Salmonella - 2014-15","KT15 3NB","SME","","00000000","Expense",""
"27","DEFRA","DEFRA",2015-01-26,"Evidence Non R&D","Strategy, International and Biosecurity DG","Animal and Plant Health Agency","5000051529",27406,"Wildlife Department Memorandum of Understanding (MoU) costs including Consequential Losses - 2014-15","YO1 7PX","SME","DFP","FERA0001","Expense",""
"28","DEFRA","DEFRA",2015-01-06,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000051996",302432.79,"Laboratory Surveillance Exotics - 2014-15 - November 2014","YO1 7PX","SME","Funding","00000000","Expense",""
"29","DEFRA","DEFRA",2015-01-12,"Other Current Payments E","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052220",3753889.03,"Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - November 2014","KT15 3NB","SME","DFP","APHA001","Expense",""
"30","DEFRA","DEFRA",2015-01-12,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052214",71589,"Research on Cost of Tuberculosis controls - October-November 2014","YO1 7PX","SME","IGS/Funding","BCP00001","Expense",""
"31","DEFRA","DEFRA",2015-01-12,"Other Current Payments (GB)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052215",106603,"Research on Cost of Tuberculosis controls - Field Management - October-November 2014","YO1 7PX","SME","IGS/Funding","BCP00001","Expense",""
"32","DEFRA","DEFRA",2015-01-13,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551042-51032",75180,"Development of an oral Bacillus Calmette<U+0096>Guérin (BCG) vaccine for badgers - research component - 2014-15 January 2015","KT15 3NB","SME","","00000000","Expense",""
"33","DEFRA","DEFRA",2015-01-13,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551043-51026",37746,"Review and preliminary assessment of alternative badger control methods","KT15 3NB","SME","DFP","00000000","Expense",""
"34","DEFRA","DEFRA",2015-01-13,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551030-51016",29533.75,"Host immune responses to Classical Swine Fever infection and investigation of improved intervention tools - 2014-15","KT15 3NB","SME","DFP","00000000","Expense",""
"35","DEFRA","DEFRA",2015-01-13,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551048-51031",53709,"Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2014-15","KT15 3NB","SME","DFP","00000000","Expense",""
"36","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052373",90393.9,"Wildlife Licensing Registration Service - November 2014","KT15 3NB","SME","IGS","00000000","Expense",""
"37","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052243",515588.51,"Providing effective services to minimise risk of exotic disease incursion - November 2014","YO1 7PX","SME","Funding","00000000","Expense",""
"38","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052897",705580.26,"Voluntary Early Retirement/Voluntary Early Severance funding","KT15 3NB","SME","DFP","00000000","Expense",""
"39","DEFRA","DEFRA",2015-01-20,"Evidence Non R&D","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000052213",76774,"Laboratory Surveillance - 2014-15 - November 2014","YO1 7PX","SME","","FERA0001","Expense",""
"40","DEFRA","DEFRA",2015-01-20,"Other Current Payments E","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000051320",36832.95,"Electronic movement reporting for sheep, goats and deer - 2014-15","YO1 7PX","SME","DFP/Funding","00000000","Expense",""
"41","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551144-51097",31302,"Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2014-15","KT15 3NB","SME","DFP","00000000","Expense",""
"42","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551139-51092",104703,"Vaccine development: Improving Bacillus Calmette<U+0096>Guérin (BCG) vaccine and developing non-sensitising vaccines for cattle - 2014-15 ","KT15 3NB","SME","SE3266","00000000","Expense",""
"43","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551140-51093",61168.66,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - January 2015","KT15 3NB","SME","SE3268","00000000","Expense",""
"44","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551138-51100",75180,"Development of an oral Bacillus Calmette<U+0096>Guérin (BCG) vaccine for badgers - research component - December 2014","KT15 3NB","SME","","00000000","Expense",""
"45","DEFRA","DEFRA",2015-01-26,"Evidence Non R&D","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","5000053156",50102.6,"Fallen stock sampling fee - November 2014","YO1 7PX","SME","DFP Funding","00000000","Expense",""
"46","DEFRA","DEFRA",2015-01-29,"Other Current Payments (Evidence R&D) (Agency)","Strategy, International and Biosecurity DG","Animal Health and Veterinary Laboratories Agency","ERS-551807-51149",29533.75,"Host immune responses to Classical Swine Fever infection and investigation of improved intervention tools - 2014-15","KT15 3NB","SME","DFP","00000000","Expense",""
"47","DEFRA","DEFRA",2015-01-22,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Aquapak Polymers Ltd","111",39353.6,"Research project on biodegradable plastic carrier bags - 2014-15","B30 3HP","SME","ecm_17058","00000000","Expense",""
"48","DEFRA","DEFRA",2015-01-16,"Prog - Admin Costs - FLS Office Services Consultancy","Policy Delivery DG","Ashurst LLP","380929",91998.33,"Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 29 November 2014-2 January 2015","EC2A 2HA","","20238","00000000","Expense",""
"49","DEFRA","DEFRA",2015-01-20,"IT Software","Chief Operating Officer DG","Atos IT Services UK Ltd","5584170759",65803.5,"Enhanced onboarding to Cloud platform - July 2014","WV10 6UH","","CAP249","CAPDFA08","Expense",""
"50","DEFRA","DEFRA",2015-01-20,"IT Software","Chief Operating Officer DG","Atos IT Services UK Ltd","5584170709",32333,"Enhanced onboarding to Cloud platform - November 2014","WV10 6UH","","CAP249","CAPDFA08","Expense",""
"51","DEFRA","DEFRA",2015-01-22,"IT Software","Chief Operating Officer DG","Atos IT Services UK Ltd","5584176080",-41317.28,"Credit note - Enhanced onboarding to Cloud platform - October 2014","WV10 6UH","","cap124","CAPDFA08","Expense",""
"52","DEFRA","DEFRA",2015-01-26,"Other Current Payments (Evidence R&D)","Policy Delivery DG","B B S R C","BBSR12196",54301.76,"Insect Pollinator Initiative - 2014-15 Quarter 3","SN2 1UH","","exempt","00000000","Expense",""
"53","DEFRA","DEFRA",2015-01-22,"Other Current Payments E","Policy Delivery DG","B E T A Technology Ltd","5662",25357.78,"Contact point for the European Union LIFE (the Financial Instrument for the Environment) programme - 2014-15 Quarter 3","DN4 5HZ","SME","20024","00000000","Expense",""
"54","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Broads Authority","25",811348,"Grant - 2014-15","NR1 1RY","SME","GIA","BROADS01","Expense",""
"55","DEFRA","DEFRA",2015-01-08,"Evidence Non R&D","Policy Delivery DG","Bureau Veritas UK Ltd","14020871",26145,"Central Management and Control Unit (CMCU) Automatic Urban and Rural Network - capital equipment - November 2014","SE1 2TX","","AQ0631","AQNONRDX","Expense",""
"56","DEFRA","DEFRA",2015-01-08,"Evidence Non R&D","Policy Delivery DG","Bureau Veritas UK Ltd","14020870",185554.6,"Central Management and Control Unit (CMCU) Automatic Urban and Rural Network - expenses - November 2014","SE1 2TX","","10892","00000000","Asset",""
"57","DEFRA","DEFRA",2015-01-28,"Evidence Non R&D","Policy Delivery DG","Bureau Veritas UK Ltd","15000659",166756,"Central Management and Control Unit (CMCU) Automatic Urban and Rural Network sourcing fee","SE1 2TX","","AQ0631","AQNONRDX","Expense",""
"58","DEFRA","DEFRA",2015-01-28,"Other Current Payments (Evidence R&D)","Policy Delivery DG","C A G Consultants","INV0241",39967,"Flood Water Management Act 2010 evaluation fee","EC3N 1LS","SME","Funding","00000000","Expense",""
"59","DEFRA","DEFRA",2015-01-12,"Evidence Non R&D","Strategy, International and Biosecurity DG","C E F A S","8004416",247431,"Aquatic Health - December 2014","NR33 0HT","SME","DFP FUNDING","00000000","Expense",""
"60","DEFRA","DEFRA",2015-01-12,"Other Current Payments (Evidence R&D)","Policy Delivery DG","C E F A S","8004401",31746,"Enhancing the ability to provide advice on data limited shellfish stocks project - 2014-15 Quarter 3","NR33 0HT","SME","MF0234","00000000","Expense",""
"61","DEFRA","DEFRA",2015-01-12,"Other Current Payments (Evidence R&D)","Policy Delivery DG","C E F A S","8004399",37359,"Placing Ocean Acidification in a wider Fisheries Context (PLACID) - 2014-15 Quarter 3 ","NR33 0HT","SME","IGS","00000000","Expense",""
"62","DEFRA","DEFRA",2015-01-12,"Evidence Non R&D","Strategy, International and Biosecurity DG","C E F A S","8004330",247431,"Aquatic Health - November 2014","NR33 0HT","SME","DFP FUNDING","00000000","Expense",""
"63","DEFRA","DEFRA",2015-01-20,"Other Current Payments (Evidence R&D)","Policy Delivery DG","C E F A S","8004445",49095.16,"Research and Development Services to Chemicals and Emerging Technologies (CET) Division - 2014-2015 Quarter 3","NR33 0HT","SME","DFP","00000000","Expense",""
"64","DEFRA","DEFRA",2015-01-26,"Evidence Non R&D","Policy Delivery DG","C E F A S","8004489",1555472.58,"Response of ecosystems and fisheries to management in a changing environment - January 2015","NR33 0HT","SME","DFP","00000000","Expense",""
"65","DEFRA","DEFRA",2015-01-26,"Current Grants E","Policy Delivery DG","Cabinet Office","250011379",150000,"Real-time data mapping tool for emergencies - November 2014-March 2015","RG21 4HG","","","00000000","Expense",""
"66","DEFRA","DEFRA",2015-01-06,"Current Subsidies To Public Corporations","Policy Delivery DG","Canal & River Trust","90801846",9e+06,"Grant - 2014-15 Quarter 4","MK9 1BB","","GIA","00000000","Expense",""
"67","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","Capita Business Services Ltd","LO10022537",70201.87,"Various interim staff engaged across Defra - week ending 3 January 2015","SL6 1DP","","","00000000","Expense",""
"68","DEFRA","DEFRA",2015-01-16,"Contractor - Management Cover","Chief Operating Officer DG","Capita Business Services Ltd","LO10021687",54926.98,"Various interim staff engaged across Defra - week ending 20 December 2014","SL6 1DP","","","00000000","Expense",""
"69","DEFRA","DEFRA",2015-01-20,"Contractor - Management Cover","Chief Operating Officer DG","Capita Business Services Ltd","LO10023085",57905.32,"Various interim staff engaged across Defra - week ending 10 January 2015","SL6 1DP","","","00000000","Asset",""
"70","DEFRA","DEFRA",2015-01-28,"Contractor - Management Cover","Chief Operating Officer DG","Capita Business Services Ltd","LO10024247",67541.81,"Various interim staff engaged across Defra - week ending 17 January 2015","SL6 1DP","","","00000000","Asset",""
"71","DEFRA","DEFRA",2015-01-05,"Business Rates","Chief Operating Officer DG","Capita Property & Infrastructure Ltd","311214",1340801,"Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-November 2014","EC2V 7NQ","","","00000000","Expense",""
"72","DEFRA","DEFRA",2015-01-27,"Business Rates","Chief Operating Officer DG","Capita Property & Infrastructure Ltd","CAPFR053",1533687.61,"Payment of rent, rates and service charges for various properties within the Defra Network - April 2014-January 2015","EC2V 7NQ","","","00000000","Expense",""
"73","DEFRA","DEFRA",2015-01-27,"Sundry Debtors","Chief Operating Officer DG","Capita Property & Infrastructure Ltd","CAPFR055",825828.2,"Payment of rent, rates and service charges for various properties within the Defra Network - August-October 2014","EC2V 7NQ","","","00000000","Asset",""
"74","DEFRA","DEFRA",2015-01-08,"Other Current Payments (Evidence R&D)","Strategy, International and Biosecurity DG","Cardiff University","2018001",30145.37,"Research Fellowship Providing Evidence and Analysis to Inform Policy Development on Key Elements of Biosecurity - Animal and Plant Health - 2014-15","CF24 0DE","","SD0511","RDEVFUND","Expense",""
"75","DEFRA","DEFRA",2015-01-23,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Centre For Ecology & Hydrology","ERS-551350-51062",26289,"Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) Networks - 2014-15","SN2 1EU","SME","Exempt","AQRDXXXX","Expense",""
"76","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Chilterns Conservation Board","151214",103217,"Grant - 2014-15 Quarter 4","OX39 4HA","SME","GIA","CHILTERN","Expense",""
"77","DEFRA","DEFRA",2015-01-20,"Grant-in Aid Payments","Policy Delivery DG","Consumer Council for Water (CCW)","070115",1282500,"Grant in AId - 2014-15 Quarter 4","B2 4AJ","","GIA","00000000","Expense",""
"78","DEFRA","DEFRA",2015-01-30,"Current Grants E","Policy Delivery DG","Cornwall AONB Unit","220115",90840.2,"Grant - April-December 2014","TR1 3AY","","","CORNWALL","Expense",""
"79","DEFRA","DEFRA",2015-01-26,"Other Current Payments E","Policy Delivery DG","Cornwall County Council","98157990",31302,"Implementation of the Food and Veterinary Office (FVO) Recommendations in relation to the EU Protected Food Names Scheme - Phase three","TR1 3AY","","21054","00000000","Expense",""
"80","DEFRA","DEFRA",2015-01-28,"Gas","Chief Operating Officer DG","Corona Energy","9868156",47850.14,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - December 2014","WD17 1JW","","","B0870000","Expense",""
"81","DEFRA","DEFRA",2015-01-28,"Gas","Chief Operating Officer DG","Corona Energy","9827662",32364.82,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - December 2014","WD17 1JW","","","B0870000","Expense",""
"82","DEFRA","DEFRA",2015-01-28,"Gas","Chief Operating Officer DG","Corona Energy","9827626",126693.14,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - December 2014","WD17 1JW","","","B2810000","Expense",""
"83","DEFRA","DEFRA",2015-01-28,"Gas","Chief Operating Officer DG","Corona Energy","9827590",40347.34,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - December 2014","WD17 1JW","","","B0870000","Expense",""
"84","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Cotswolds Conservation Board","031214",106400,"Grant - 2014-15 Quarter 4","GL54 3JH","SME","GIA","COTSWOLD","Expense",""
"85","DEFRA","DEFRA",2015-01-20,"Payments to Agencies New BSE GB","Policy Delivery DG","Crown Commercial Service","SINMIS5559",36674.4,"Improving SID4GOV (Food Procurement Portal) food procurement functionality ","L3 9PP","","Bravo21554","00000000","Expense",""
"86","DEFRA","DEFRA",2015-01-23,"Payments to Agencies GB","Strategy, International and Biosecurity DG","D L O Holding/Prionics AG","210115",188707.36,"A shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - December 2014","8952","","","TUBP0468","Expense",""
"87","DEFRA","DEFRA",2015-01-27,"Payments to Agencies GB","Strategy, International and Biosecurity DG","D L O Holding/Prionics AG","260115",188742.88,"A shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - January 2015","8952","","","TUBP0468","Expense",""
"88","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Dartmoor National Park Authority","271114",818064,"Grant - 2014-15 Quarter 4","TQ13 9JQ","SME","GIA","DARTMOOR","Expense",""
"89","DEFRA","DEFRA",2015-01-02,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Department Of Energy and Climate Change","1100020097",25000,"Grant - Avoiding Dangerous Climate Change (AVOID 2) project - November 2014","SW1A 2HD","SME","Grant","THEMELED","Expense",""
"90","DEFRA","DEFRA",2015-01-26,"Evidence Non R&D","Policy Delivery DG","Department Of Energy and Climate Change","1100018361",72461,"Addition to the England annual contribution to the costs of the UK Adaptation Sub Committee for Climate Change","SW1A 2HD","SME","IGS","ADAPTASC","Expense",""
"91","DEFRA","DEFRA",2015-01-20,"Current Grants - Local Authorities","Policy Delivery DG","Dept For Communities & Local Gov","020115",1250000,"Local Services Support Grant - January 2015","HP2 4XN","","Grant","00000000","Expense",""
"92","DEFRA","DEFRA",2015-01-20,"Other Current Payments (GB)","Policy Delivery DG","Dept For Communities & Local Gov","311214",250000,"London Support Grant Services - January 2015","HP2 4XN","","Funding","00000000","Expense",""
"93","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","062",49920,"Web Operations Resource Phase One - Management","BN11 1QR","SME","CAP287","CAPDFA03","Expense",""
"94","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","063",49320,"Web Operations Resource Phase One - December 2014","BN11 1QR","SME","","CAPDTA00","Expense",""
"95","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","056",49440,"Web Operations Resource Phase One - November 2014","BN11 1QR","SME","CAP287","CAPDFA03","Expense",""
"96","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","059",39360,"Web Operations Resource Phase One - 17-21 November 2014","BN11 1QR","SME","","CAPDTA00","Expense",""
"97","DEFRA","DEFRA",2015-01-14,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","053",46560,"Web Operations Resource Phase One - Consultancy - November 2014","BN11 1QR","SME","","CAPDTA00","Expense",""
"98","DEFRA","DEFRA",2015-01-20,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","066",46560,"Web Operations Resource Phase One - Consultancy - December 2014","BN11 1QR","SME","","CAPDTA00","Expense",""
"99","DEFRA","DEFRA",2015-01-20,"Contractor - Management Cover","Chief Operating Officer DG","DevOpsGuys Ltd","064",47040,"Web Operations Resource Phase One - Consultancy - December 2014","BN11 1QR","SME","","CAPDTA00","Expense",""
"100","DEFRA","DEFRA",2015-01-30,"Current Grants E","Policy Delivery DG","Durham County Council","230115",228022.5,"Area of Outstanding Natural Beauty Grant - North Pennines  - April-December 2014","DH1 5UE","SME","GIA","NPENNINE","Expense",""
"101","DEFRA","DEFRA",2015-01-28,"Current Grants E","Policy Delivery DG","East Devon AONB","120115",108554.25,"Area of Outstanding Natural Beauty Grant - East Devon  - 2014-15","EX10 8HL","","","EASTDEVN","Expense",""
"102","DEFRA","DEFRA",2015-01-30,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Economics for the Environment Consultancy Ltd","1042",51419.4,"Developing economic evidence on the costs and benefits of investing in natural capital - September-November 2014","W1W 7SQ","SME","WC1109","BIODECOS","Expense",""
"103","DEFRA","DEFRA",2015-01-30,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Economics for the Environment Consultancy Ltd","1039",36421.25,"2013-14 Research Project - Development of ecosystem accounting - Milestone 10","W1W 7SQ","SME","NR0158","BIODECOS","Expense",""
"104","DEFRA","DEFRA",2015-01-06,"Grant-in Aid Payments","Policy Delivery DG","Environment Agency","EAGIAJANUARY15",1.1e+08,"Grant in aid (floods and non-floods) - 2014-15","BS1 5AH","","DFP","00000000","Expense",""
"105","DEFRA","DEFRA",2015-01-27,"Other Current Grants - Evidence R&D","Policy Delivery DG","Environment Agency","1117705",-30000,"Credit note - Performance of water supply systems during extreme drought - 2014-15","PE2 5ZR","","IGS","00000000","Expense",""
"106","DEFRA","DEFRA",2015-01-16,"Consultancy Non-Scheme","Chief Operating Officer DG","Ernst & Young LLP","GB10300015897",31980,"Professional Assistance Options Evaluation Exercise - 2014-15","SE1 2AF","","CAP296","CAPDBCFM","Expense",""
"107","DEFRA","DEFRA",2015-01-16,"Consultancy Non-Scheme","Chief Operating Officer DG","Ernst & Young LLP","GB10300015898",67320,"Common Agricultural Policy Benefits Review - 2014-15","SE1 2AF","","CAP262","CAPDBCFM","Expense",""
"108","DEFRA","DEFRA",2015-01-08,"Current Grants E","Policy Delivery DG","Exmoor National Park Authority","271114",704000,"Grant - 2014-15 Quarter 4","TA22 9HL","SME","GIA","EXMOOR01","Expense",""
"109","DEFRA","DEFRA",2015-01-30,"Current Grants E","Strategy, International and Biosecurity DG","Fauna & Flora International","060115",25822.4,"Underpinning the design and management of Cambodia's first Marine Protected Area - October-December 2014","CB1 2JD","SME","exempt","DARWINXX","Expense",""
"110","DEFRA","DEFRA",2015-01-12,"Other Current Payments (Evidence R&D)","Policy Delivery DG","Food & Environment Research Agency","F0040124",30147,"Development of a Proteomics Method for Meat Speciation in Heavily Processed Foodstuffs - November 2014","YO41 1LZ","","DFP","SFFS0003","Expense",""
