"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"22","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","SEO",33675,45769,"Policy Support Officer",1,"Policy"
"23","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"24","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","HEO",26492,37316,"Not In Post",1,"Policy"
"25","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","EO",21438,30275,"Policy Support Officer",1.5,"Policy"
"26","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","FS",29992,41546,"Not In Post",1,"Policy"
"27","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-003","G7",45299,61976,"Private Secretary",1,"Operational Delivery"
"28","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-003","EO",21438,30275,"Diary Manager",1,"Operational Delivery"
"29","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","EO",21438,30275,"Executive Assistant",1,"Operational Delivery"
"30","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","G6",57075,75035,"Senior Policy Adviser",1,"Policy"
"31","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","G6",57075,75035,"Senior Economist",2,"Economics"
"32","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","G7",45299,61976,"Statistician",2.9,"Statisticians"
"33","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","G7",45299,61976,"Senior Operational Researcher",0.8,"Operational Research"
"34","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","G7",45299,61976,"Policy Manager",2,"Policy"
"35","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","G7",45299,61976,"Policy Manager",3,"Policy"
"36","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","G7",45299,61976,"Programme Manager",1,"Programme and Project Management (PPM)"
"37","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","G7",45299,61976,"Senior Economist",1.7,"Economics"
"38","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","FS",29992,41546,"Statistician",2.7,"Statisticians"
"39","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","FS",29992,41546,"Economist",1,"Economics"
"40","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","FS",29992,41546,"Policy Adviser",2,"Policy"
"41","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","EO",21438,30275,"Statistician",1,"Statisticians"
"42","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","HEO",26492,37316,"Not In Post",1,"Policy"
"43","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","SEO",33675,45769,"Operational Researcher",1,"Operational Research"
"44","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","SEO",33675,45769,"Policy Adviser",3,"Policy"
"45","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-023","G7",45299,61976,"Operational Researcher",1,"Operational Research"
"46","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","EO",21438,30275,"Executive Assistant",0.5,"Operational Delivery"
"47","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-024","EO",21438,30275,"Policy Support Officer",1,"Policy"
"48","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","G6",57075,75035,"Senior Project Officer",1,"Policy"
"49","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","G6",57075,75035,"Policy Manager",1,"Policy"
"50","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","G7",45299,61976,"Project Manager",1,"Policy"
"51","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","G7",45299,61976,"Briefing Manager",1,"Policy"
"52","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","G7",45299,61976,"Policy Manager",2,"Policy"
"53","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","FS",29992,41546,"Policy Support Officer",1,"Policy"
"54","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","SEO",33675,45769,"Policy Manager",2,"Policy"
"55","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","HEO",26492,37316,"Project Support Officer",1,"Policy"
"56","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","EO",21438,30275,"Policy Support Officer",0.8,"Policy"
"57","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-086","EO",21438,30275,"Executive Assistant",1,"Policy"
"58","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","G6",57075,75035,"Senior Policy Manager",1,"Policy"
"59","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","G7",45299,61976,"Policy Manager",4.42,"Policy"
"60","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","FS",29992,41546,"Not In Post",1,"Policy"
"61","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","SEO",33675,45769,"Assistant Policy Manager",1,"Policy"
"62","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","EO",21438,30275,"Project Support Officer",2,"Policy"
"63","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-082","EO",21438,30275,"Executive Assistant",0.5,"Operational Delivery"
"64","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","G6",57075,75035,"Senior Policy Adviser",1,"Policy"
"65","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","G7",45299,61976,"Senior Project Manager",4.2,"Policy"
"66","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","SEO",33675,45769,"Policy Manager",2,"Policy"
"67","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","SEO",33675,45769,"Project Manager",0.68,"Policy"
"68","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","EO",21438,30275,"Policy Support Officer",1.65,"Policy"
"69","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","AO",17209,23567,"Project Support Officer",1,"Policy"
"70","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-080","FS",29992,41546,"Project Support Officer",1,"Policy"
"71","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-076","SEO",33675,45769,"Project Support Officer",1,"Policy"
"72","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-025","G7",45299,61976,"Project Manager",1,"Policy"
"73","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-025","EO",21438,30275,"Executive Assistant",1,"Policy"
"74","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","G7",45299,61976,"Policy Manager",5,"Policy"
"75","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","FS",29992,41546,"Policy Adviser",2,"Policy"
"76","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","SEO",33675,45769,"Policy Manager",3,"Policy"
"77","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","G6",57075,75035,"Policy Manager",1,"Policy"
"78","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","EO",21438,30275,"Executive Assistant",1,"Policy"
"79","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","EO",21438,30275,"Policy Support Officer",1,"Policy"
"80","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","AO",17209,23567,"Programme Support Officer",0.9,"Policy"
"81","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"82","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-212","HEO",26492,37316,"Programme Manager",1,"Policy"
"83","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-090","G7",45299,61976,"Policy Manager",0.8,"Policy"
"84","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-090","EO",21438,30275,"Policy Support Officer",1,"Policy"
"85","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-083","G7",45299,61976,"Policy Manager",1,"Policy"
"86","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-083","EO",21438,30275,"Policy Support Officer",1,"Policy"
"87","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-091","G7",45299,61976,"Policy Manager",1,"Policy"
"88","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-091","EO",21438,30275,"Policy Support Officer",1,"Policy"
"89","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-089","G7",45299,61976,"Policy Manager",1,"Policy"
"90","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-089","EO",21438,30275,"Policy Support Officer",1,"Policy"
"91","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-026","EO",21438,30275,"Executive Assistant",1,"Operational Delivery"
"92","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","G6",57075,75035,"Project Manager",0.5,"Policy"
"93","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","G7",45299,61976,"Senior Policy Adviser",2.7,"Policy"
"94","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","SEO",33675,45769,"Communications Manager",1,"Communications"
"95","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"96","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","HEO",26492,37316,"Not In Post",2,"Policy"
"97","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-074","EO",21438,30275,"Business Support Officer",1,"Operational Delivery"
"98","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","G7",45299,61976,"Senior Policy Adviser",3.4,"Policy"
"99","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","SEO",33675,45769,"Policy Manager",1,"Policy"
"100","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","HEO",26492,37316,"Policy Manager",3,"Policy"
"101","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","EO",21438,30275,"Policy Support Officer",2,"Policy"
"102","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-085","G6",57075,75035,"Programme Manager",0.8,"Policy"
"103","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-085","G7",45299,61976,"Senior Project Manager",3,"Policy"
"104","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-085","SEO",33675,45769,"Policy Manager",4,"Policy"
"105","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","G6",57075,75035,"Senior Policy Manager",2,"Policy"
"106","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","SEO",33675,45769,"Policy Manager",1,"Policy"
"107","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","EO",21438,30275,"Executive Assistant",1,"Operational Delivery"
"108","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-079","SEO",33675,45769,"Not In Post",1,"Policy"
"109","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","G7",45299,61976,"Senior Operational Manager",1,"Operational Delivery"
"110","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","G7",45299,61976,"Senior Project Manager",1,"Operational Delivery"
"111","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","SEO",33675,45769,"Resource Manager",2,"Operational Delivery"
"112","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","HEO",26492,37316,"Operations Support Officer",1,"Operational Delivery"
"113","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","HEO",26492,37316,"Business Manager",1,"Operational Delivery"
"114","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","EO",21438,30275,"Business Support Officer",4,"Operational Delivery"
"115","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-087","AO",17209,23567,"Admin support",2,"Operational Delivery"
"116","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-022","HEO",26492,37316,"Business Manager",1,"Policy"
"117","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-022","EO",21438,30275,"Executive Assistant",1,"Policy"
"118","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-085","HEO",26492,37316,"Policy Manager",1,"Policy"
"119","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-085","EO",21438,30275,"Executive Assistant",1.53,"Policy"
"120","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","G6",57075,75035,"Project Manager",2,"Programme and Project Management (PPM)"
"121","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","SEO",33675,45769,"Analyst",1,"Programme and Project Management (PPM)"
"122","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","SEO",33675,45769,"Budget, Funding etc Manager",1,"Programme and Project Management (PPM)"
"123","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","SEO",33675,45769,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"124","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","HEO",26492,37316,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"125","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-059","EO",21438,30275,"Programme Support Officer",3,"Programme and Project Management (PPM)"
"126","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","G6",57075,75035,"Programme Manager",1,"Programme and Project Management (PPM)"
"127","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","G6",57075,75035,"Project Manager",1,"Programme and Project Management (PPM)"
"128","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","SEO",33675,45769,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"129","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","HEO",26492,37316,"Programme Support Officer",2,"Programme and Project Management (PPM)"
"130","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","G7",45299,61976,"Programme Manager",1,"Programme and Project Management (PPM)"
"131","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","G6",57075,75035,"Senior Business Manager",1,"Programme and Project Management (PPM)"
"132","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","G6",57075,75035,"Senior Finance Manager",0.6,"Finance"
"133","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","HEO",26492,37316,"Finance Officer",1,"Finance"
"134","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","EO",21438,30275,"Finance Support Officer",1,"Operational Delivery"
"135","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD037","SEO",33675,45769,"Finance Officer",1,"Operational Delivery"
"136","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","G6",57075,75035,"Project Manager",1,"Programme and Project Management (PPM)"
"137","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","G7",45299,61976,"PMO Manager",2,"Programme and Project Management (PPM)"
"138","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","HEO",26492,37316,"Project Support Officer",1,"Programme and Project Management (PPM)"
"139","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","EO",21438,30275,"PA Support",1,"Programme and Project Management (PPM)"
"140","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","EO",21438,30275,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"141","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","AO",17209,23567,"Admin support",1,"Programme and Project Management (PPM)"
"142","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD035","AO",17209,23567,"PA Support",1,"Programme and Project Management (PPM)"
"143","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","G7",45299,61976,"Senior Business Manager",2.6,"Operational Delivery"
"144","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","SEO",33675,45769,"Business Manager",1,"Operational Delivery"
"145","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","HEO",26492,37316,"Business Manager",1.34,"Operational Delivery"
"146","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","HEO",26492,37316,"Business Support Officer",1,"Operational Delivery"
"147","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","EO",21438,30275,"Business Support Officer",1,"Operational Delivery"
"148","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-1831","EO",21438,30275,"Team Support Officer",1,"Operational Delivery"
"149","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","G6",57075,75035,"Section Head",4,"Policy"
"150","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","G6",57075,75035,"Programme Management Officer",1,"Programme and Project Management (PPM)"
"151","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","G7",45299,61976,"Policy Manager",13,"Policy"
"152","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","SEO",33675,45769,"Business Manager",1,"Policy"
"153","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","SEO",33675,45769,"Policy Support Officer",3.33,"Policy"
"154","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","SEO",33675,45769,"Business Support Officer",1,"Policy"
"155","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","HEO",26492,37316,"Programme Support Officer",3.19,"Policy"
"156","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","HEO",26492,37316,"PA Support",1,"Policy"
"157","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","EO",21438,30275,"Project Support Officer",1,"Policy"
"158","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","EO",21438,30275,"Programme Support Officer",1,"Policy"
"159","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-116","AO",17209,23567,"Admin support",4.06,"Policy"
"160","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-243","G7",45299,61976,"Senior Business Manager",1,"Operational Delivery"
"161","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-243","SEO",33675,45769,"Business Manager",2,"Operational Delivery"
"162","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-243","HEO",26492,37316,"Finance Officer",0.78,"Operational Delivery"
"163","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-243","EO",21438,30275,"Business Support Officer",0.7,"Operational Delivery"
"164","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","G6",57075,75035,"Commercial Manager",1,"Information Technology"
"165","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","G6",57075,75035,"Section Head",2,"Information Technology"
"166","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","G7",45299,61976,"Senior IT Manager",2,"Information Technology"
"167","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","SEO",33675,45769,"IT Manager",13,"Information Technology"
"168","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","HEO",26492,37316,"IT Manager",24.28,"Information Technology"
"169","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","EO",21438,30275,"IT support officer",3,"Information Technology"
"170","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","EO",21438,30275,"Knowledge Information Management Support Officer",0.89,"Information Technology"
"171","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","EO",21438,30275,"PA Support",1,"Information Technology"
"172","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-049","AO",17209,23567,"Team Support Officer",2,"Information Technology"
"173","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","G6",57075,75035,"Senior Communications Manager",1,"Communications"
"174","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","G6",57075,75035,"Senior Project Manager",1,"Operational Delivery"
"175","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","G6",57075,75035,"Senior Policy Manager",1,"Operational Delivery"
"176","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","G7",45299,61976,"Communications Manager",1.86,"Communications"
"177","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","SEO",33675,45769,"Communications Manager",1,"Communications"
"178","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","SEO",33675,45769,"Operational Manager",2,"Operational Delivery"
"179","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","FS",29992,41546,"Policy Adviser",1,"Operational Delivery"
"180","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","HEO",26492,37316,"Communications Support Officer",2.94,"Communications"
"181","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","EO",21438,30275,"Communications Support Officer",0.51,"Communications"
"182","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","HEO",26492,37316,"Policy Adviser",1,"Operational Delivery"
"183","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","EO",21438,30275,"Programme Support Officer",3,"Operational Delivery"
"184","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-055","HEO",26492,37316,"Programme Support Officer",1,"Operational Delivery"
"185","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","G6",57075,75035,"Senior Finance Manager",1,"Operational Delivery"
"186","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","G7",45299,61976,"Workstream Lead",1,"Operational Delivery"
"187","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","SEO",33675,45769,"Operational Manager",1,"Operational Delivery"
"188","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","HEO",26492,37316,"Business Manager",1,"Operational Delivery"
"189","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","EO",21438,30275,"Executive Assistant",1,"Operational Delivery"
"190","Department of Health","Department of Health","Group Operations & Assurance Directorate","CDD021","HEO",26492,37316,"Programme Support Officer",1,"Operational Delivery"
"191","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","G6",57075,75035,"Senior HR Manager",0.8,"Human Resources"
"192","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","G7",45299,61976,"Senior HR Manager",3.61,"Human Resources"
"193","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","SEO",33675,45769,"HR Officer",3,"Human Resources"
"194","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","HEO",26492,37316,"HR Officer",5.89,"Human Resources"
"195","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","EO",21438,30275,"HR support officer",7.62,"Human Resources"
"196","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","EO",21438,30275,"Executive Assistant",1,"Human Resources"
"197","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-050","AO",17209,23567,"HR Support Officer",3.69,"Human Resources"
"198","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","G6",57075,75035,"Senior HR Manager",3.6,"Human Resources"
"199","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","G7",45299,61976,"Senior HR Manager",3,"Human Resources"
"200","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","G7",45299,61976,"Business Manager",0.92,"Human Resources"
"201","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","SEO",33675,45769,"HR Officer",4.47,"Human Resources"
"202","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","HEO",26492,37316,"HR Officer",9,"Human Resources"
"203","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","EO",21438,30275,"HR support officer",3.79,"Human Resources"
"204","Department of Health","Department of Health","Group Operations & Assurance Directorate","GOA-053","EO",21438,30275,"Analyst",1,"Human Resources"
