"","Department family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount","VAT registration number"
"48","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-06,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","33715",651922,""
"49","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-06,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","33728",28376,""
"50","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","35097109",27040,""
"51","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE - NHS TRUSTS","CONTRACTING FINANCE","LEEDS TEACHING HOSPITALS NHS TRUST","370732",38331.63,""
"52","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"OUT OF HOURS - OOHDF","PRIMARY CARE FINANCE","NORTHERN DOCTORS URGENT CARE","416",807291.76,""
"53","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"SERVICES FROM PCTS","CENTRAL FINANCE","SOUTH TYNESIDE PCT","4170",102287,""
"54","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"OTHER CREDITORS < ONE YEAR","BS CREDITOR PAYROLL","HM REVENUE AND CUSTOMS","504PH00146988 YR11MTH11",27128.19,""
"55","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - PCTS","CONTRACTING FINANCE","COUNTY DURHAM PCT","511021",73138,""
"56","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - PCTS","CONTRACTING FINANCE","COUNTY DURHAM PCT","511022",119000,""
"57","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST","524579",46143,""
"58","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST","524781",43001.49,""
"59","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST","524907",3737754,""
"60","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST","525127",52829,""
"61","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","56683",30720.25,""
"62","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"SERVICES FROM LOCAL AUTHORITIES","CENTRAL FINANCE","NORTHUMBERLAND COUNTY COUNCIL","59587",37500,""
"63","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"DOCTORS' DRUG COSTS AND REMUNERTATION - PRESCRIBING MEDICAL PRACTITIONERS - COSTS OF DRUGS","PRIMARY CARE FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","61006",66413,""
"64","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","63107",323177,""
"65","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","63502",49547,""
"66","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","63508",30888,""
"67","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"DIRECTOR","CENTRAL FINANCE","NEWCASTLE PCT","64001385",34580.93,""
"68","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"SERVICES FROM PCTS","CENTRAL FINANCE","NEWCASTLE PCT","64001410",37792.38,""
"69","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"DIRECTOR","CENTRAL FINANCE","NEWCASTLE PCT","64001449",38748.35,""
"70","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","NORTH TYNESIDE PCT","65002545",32320,""
"71","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"HEALTHCARE - PCTS","CONTRACTING FINANCE","NORTH TYNESIDE PCT","65002569",190330,""
"72","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - PCTS","CONTRACTING FINANCE","NORTH TYNESIDE PCT","65002581",545090,""
"73","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"HEALTHCARE - PCTS","CONTRACTING FINANCE","NORTH TYNESIDE PCT","65002595",725038,""
"74","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - PCTS","CONTRACTING FINANCE","NORTH TYNESIDE PCT","65002607",1733154,""
"75","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","65104",128401.68,""
"76","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"LEASE RENTS","CENTRAL FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","65889",57798.8,""
"77","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","66069",85218.68,""
"78","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","66071",61113.42,""
"79","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","67320",16005565,""
"80","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"LEASE RENTS","CENTRAL FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","67546",57798.8,""
"81","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"DOCTORS' DRUG COSTS AND REMUNERTATION - PRESCRIBING MEDICAL PRACTITIONERS - COSTS OF DRUGS","PRIMARY CARE FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","67649",148014.56,""
"82","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","68034",33348,""
"83","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","68039",345257,""
"84","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","68040",414996,""
"85","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CENTRAL FINANCE","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","68173",28750,""
"86","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","CARE LTD","91481",35584.96,""
"87","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","CARE LTD","91655-92781",49500.98,""
"88","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","PERCY HEDLEY FOUNDATION","9851",39014.16,""
"89","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","RAMSAY HEALTH CARE LTD","CBSAC1044",89190,""
"90","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"OTHER CREDITORS < ONE YEAR","BS CREDITOR PAYROLL","NHS PENSIONS AGENCY","EA0324 GP YR11MTH11",410453.6,""
"91","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","FS001/NE23 8AZ",33913.55,""
"92","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","FS001/NE24 4LH",36197.37,""
"93","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","FS001/NE24 5TT",33971.71,""
"94","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","FS001/NE46 1HW",40766.85,""
"95","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-20,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","FS001/NE61 3AA",34781.65,""
"96","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-01,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","BORDERS HEALTH BOARD","I0049657",1707056,""
"97","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-01,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","BORDERS HEALTH BOARD","I0050438",909886,""
"98","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","HC ONE LTD","IAGR0002",52874.39,""
"99","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","HC ONE LTD","IAGR0003",77970.17,""
"100","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"LEASE RENTS","CENTRAL FINANCE","PRIME PUBLIC PARTNERSHIPS LTD","LI06000777",103042.8,""
"101","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"LEASE RENTS","CENTRAL FINANCE","PRIME PUBLIC PARTNERSHIPS LTD","LI06000808",37530,""
"102","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-19,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","MEDICAL GAS SERVICES LTD","MGS230",28065,""
"103","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","LAING OROURKE CONSTRUCTION NORTH LTD","N2732/0018",1451792.88,""
"104","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NNT LIFT COMPANY (FUNDCO1) LTD","NBER/4735",34483.14,""
"105","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NNT LIFT COMPANY (FUNDCO1) LTD","NBER/4737",33504.6,""
"106","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-13,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NNT LIFT COMPANY (FUNDCO1) LTD","NBER/4741",28089.02,""
"107","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NNT LIFT COMPANY (FUNDCO1) LTD","NBER2/4737",79411.42,""
"108","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"ADDITIONS - ASSETS UNDER CONSTRUCTION","BS SHEET FIXED ASSETS","NNT LIFT COMPANY (FUNDCO1) LTD","NBER6/4553",120513.79,""
"109","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0173671",434100,""
"110","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0174485",257306.77,""
"111","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0176225",121800,""
"112","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0177944",1616100,""
"113","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-01,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0180038",182791.59,""
"114","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0180260",55820,""
"115","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0180263",128300,""
"116","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0180330",197653.93,""
"117","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0181111",136929.61,""
"118","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0181901",193209.07,""
"119","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182244",6307233.33,""
"120","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182262",70091.67,""
"121","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182319",86000,""
"122","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182334",421400,""
"123","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","R0182931",442200,""
