"","Department","Entity","Date of Payment","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"81","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Coaching","Energy & Climate Change International - International Climate Change Negotiations","APOD LTD",4023982,600
"82","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4023984,17775.6
"83","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","NATS (EN-ROUTE) PLC",4023986,697500
"84","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","KAPLAN FINANCIAL LTD",4023987,600
"85","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","SIEMENS plc",4023989,545142
"86","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Non Grant-in-Aid Funding of Bodies (Departmental and Non-Departmental)","National Climate Change & Consumer Support - National Climate Change","KEEP BRITAIN TIDY",4023990,29212.52
"87","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Contributions (Programme)","Energy & Climate Change International - International Energy & Carbon Budgets","RENEWABLE ENERGY & EFFICIENCY PARTNERSHIP",4023995,50000
"88","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","CAMCO ADVISORY SERVICES LTD",4023996,9740
"89","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"External Legal Advice","Energy & Climate Change International - International Energy & Carbon Budgets","LINKLATERS LLP",4023997,58610.96
"90","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Other Miscellaneous Expenditure","National Climate Change & Consumer Support - Energy Efficiency & Consumers","COI COMMUNICATIONS",4023998,2286.24
"91","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"IT Services (Programme)","National Climate Change & Consumer Support - Communications","COI COMMUNICATIONS",4023999,6393.6
"92","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Other Miscellaneous Expenditure","National Climate Change & Consumer Support - Energy Efficiency & Consumers","FORUM FOR THE FUTURE",4024000,9600
"93","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Programme Management Services","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","COI COMMUNICATIONS",4024002,13620.25
"94","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","E.ON UK PLC",4024005,3032298.18
"95","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","E.ON UK PLC",4024005,360982.6
"96","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Not Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024009,5e+06
"97","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Coal Provision Payments Suspense","Energy Markets & Infrastructure - Energy Development Unit","DECC COAL CENTRAL ACCOUNT",4024010,656000
"98","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants - Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","LONDON BOROUGH OF HARINGEY",4024011,36092.99
"99","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Sponsorship Support","Energy Markets & Infrastructure - Energy Development Unit","EAST OF ENGLAND ENERGY GROUP (EEEGR)",4024022,10000
"100","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Sponsorship Support","Energy Markets & Infrastructure - Energy Development Unit","EAST OF ENGLAND ENERGY GROUP (EEEGR)",4024022,12000
"101","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024025,8542.58
"102","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"ICT Infrastructure Specific Service","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024026,20854.5
"103","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024027,7426.59
"104","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Application Support Service","Energy Markets & Infrastructure - Energy Development Unit","FUJITSU SERVICES LTD",4024028,2491.88
"105","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Economic Consultancy & Research","Energy Markets & Infrastructure - Energy Strategy and Futures","LANE CLARK & PEACOCK LLP",4024030,25000
"106","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Salaries - Casuals (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","HAYS OFFICE SUPPORT",4024035,719.63
"107","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Local IT Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","HAYS SPECIALIST RECRUITMENT LTD",4024036,2828
"108","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Outsourced Programme Management Services","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","COI COMMUNICATIONS",4024039,14677.46
"109","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Minor Works (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","COI COMMUNICATIONS",4024040,10489
"110","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Technical Support","Science & Innovation Group - Science & Innovation Group","ENVIROS CONSULTING LTD",4024042,14130.33
"111","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"International Subscriptions","Energy & Climate Change International - International Energy & Carbon Budgets","RETD FOUNDATION",4024043,70488
"112","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"IT Maintenance and Management Services","Energy Markets & Infrastructure - Energy Development Unit","NOMENSA LTD",4024051,2450
"113","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","IMPERIAL COLLEGE LONDON",4024053,30000
"114","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Application Support Service","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","GEMSERV LTD",4024055,7475
"115","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Mobile Line Rental","Corporate Support & Shared Services - Corporate Support & Shared Services","VODAFONE LTD",4024056,2400
"116","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","ASTRIUM LTD",4024057,9500
"117","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Secondees (not paid directly)","Science & Innovation Group - Science & Innovation Group","IBM UNITED KINGDOM LTD",4024058,4000
"118","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","CENTRE FOR SUSTAINABLE ENERGY",4024061,55420
"119","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Accommodation Rentals","Corporate Support & Shared Services - Corporate Support & Shared Services","XEROX FINANCE LTD",4024062,1016.4
"120","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4024063,1607.51
"121","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Technical Advice / Services & Support","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BRE",4024064,9975
"122","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Communications","ROYAL INSTITUTE OF BRITISH ARCHITECTS (RIBA)",4024065,18600
"123","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","EDUCATION DEVELOPMENT INTERNATIONAL PLC",4024066,3500
"124","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","AEA TECHNOLOGY plc",4024069,3487.82
"125","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","POYRY MANAGEMENT CONSULTING (UK) LTD",4024071,22646
"126","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","POYRY MANAGEMENT CONSULTING (UK) LTD",4024072,22646
"127","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","COI COMMUNICATIONS",4024074,14500
"128","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY)",4024077,63597.76
"129","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"ICT Infrastructure Specific Service","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024079,2961.78
"130","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024080,3315.6
"131","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024081,1355.68
"132","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"ICT Infrastructure Specific Service","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024083,9834.65
"133","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"ICT Infrastructure Specific Service","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024084,43768
"134","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Administration of Grants and Awards","Energy Markets & Infrastructure - Energy Development Unit","THE ROYAL SOCIETY FOR THE PROTECTION OF BIRDS [RSPB]",4024088,45000
