CODICE_MUSEO,CODICE_SEDE,PROVINCIA_SEDE,COMUNE_SEDE,DENOMINAZIONE_MUSEO,DENOMINAZIONE_SEDE,INDIRIZZO_SEDE,FRAZIONE_SEDE,CAP_SEDE,TELEFONO_SEDE,FAX_SEDE,EMAIL_SEDE,SITO_WEB_SEDE,SITO_WEB_SEDE_1,NOTE_SEDE,TIPO_RICONOSCIMENTO,TIPOLOGIA_MUSEO,TIPOLOGIA_ENTE_PROPRIETARIO,APERTURA_SEDE,TIPO_CHIUSURA,MOTIVAZIONE_CHIUSURA_TEMPO_DET,NOTE_APERTURA,DESCRIZIONE_ORARI_APERTURA,CHIUSURA_SETTIMANALE,NOTE_ORARI_APERTURA,PARCHEGGI_VICINI,PARCHEGGI_PERS_DISABILITA,BIGLIETTERIA,GUARDAROBA,AREA_ACCOGLIENZA,BOOKSHOP,CAFFETTERIA,AREA_ASSISTENZA_INFANZIA,NOTE_SPAZI_SERVIZIO_PUBBLICO,LABORATORIO_FOTOGRAFICO,LABORATORIO_RESTAURO,LABORATORIO_PREPARAZIONE,LABORATORIO_ANALISI,NOTE_LABORATORI,SERVIZI_IGIENICI,SERV_IG_PERS_DISABILITA,DOTAZ_INFORMATICHE_STUDIO,DOTAZ_INFORMATICHE_AREE_ESP,TIPO_ACCESSO_PERS_DISABILITA,GRATUITO_PAGAMENTO,GIORNO_INGRESSO_GRATIS,PREZZO_INTERO_EURO,PREZZO_RIDOTTO_EURO,PREZZO_GRUPPI_EURO,PREZZO_SCUOLE_EURO,PREZZO_ALTRO_EURO,BIGLIETTO_CUMULATIVO,FIDELIZZAZIONE,ABBONAMENTO,NOTE_MODALITA_ACCESSO,ANNO_RIF_VISITATORI,TOTALE_VISITATORI,SINGOLI,UNDER_18_OVER_65,GRUPPI_SCOLASTICI,GRUPPI_ORGANIZZATI,NOTE_AFFLUENZA_PUBBLICO,STORICO_VISITATORI,DOTATO_CARTA_SERVIZI,SERVIZIO_EDUCATIVO,BIBLIOTECA,FOTOTECA,ARCHIVIO,DEPOSITI_CONSULTABILI,ALTRO,NOTE_SERVIZI_UTENTI,DISP_SERVIZI_ONLINE,PRENOTAZIONE_ONLINE,ACQUISTI_ONLINE,CONSULTAZIONE_ARCHIVI_ONLINE,NOTE_SERVIZI_ONLINE,WGS84_X,WGS84_Y,LOCATION
482,623,BS,DESENZANO DEL GARDA,MUSEO CIVICO ARCHEOLOGICO,Museo Archeologico Rambotti,"Via T. Dal Molin, 7C",,25015,030 9144529,,museo@comune.desenzano.brescia.it,http://www.onde.net/desenzano/citta/museo/index.htm,,,Museo,Archeologia,COMUNE,SI,,,,"martedì e mercoledì dalle 9.00 alle 13.00
giovedì e venerdì dalle 15 alle 19
sabato, domenica e festivi 14.30-19. 
Chiuso il lunedì",lunedì,,SI,SI,SI,SI,SI,SI,NO,NO,E' presente un'aula didattica.,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO TOTALE,A PAGAMENTO,prima domenica del mese,4,2,,,,SI,NO,NO,"Biglietto intero cumulativo Museo-Castello: euro 5,00 - ridotto euro 2,00",2019,6107,4297,,1810,,,(2019:6107)|(2018:5571)|(2017:2947)|(2016:4925)|(2015:6057),SI,SI,SI,NO,SI,SI,SI,Aula didattica dove si svolgono incontri  e laboratori con i bambini,NO,NO,NO,NO,,10.5424668,45.4690064,"(45.4690064, 10.5424668)"
2357,2411,BS,TOSCOLANO-MADERNO,ORTO BOTANICO SPERIMENTALE 'G. E. GHIRARDI',Orto Botanico Sperimantale 'G. E. Ghirardi',Via Religione,,25088,02 50314863-0250314770,02 50314862,"elisabetta.marcosini@unimi.it, gelsomina.fico@unimi.it",http://www.reteortibotanicilombardia.it,,,Raccolta Museale,Orto botanico,UNIVERSITA' STATALI - NON STATALI,SI,,,,"15 Aprile - 15 Ottobre
Lun, mar, gio, ven: 8.00 - 12.00; 13.00-16.00
Mer 13.00 -20.00
Sab: 9.30-12.30 e terzo sabato del mese in aggiunta 16.00-20.00.",domenica,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,SI,NO,,SI,NO,NO,NO,ACCESSO PARZIALE,GRATUITO,,,,,,,,,,,2019,4500,2000,1350,1800,700,,(2019:4500)|(2018:10000)|(2017:12000)|(2016:12000)|(2015:7500),NO,SI,NO,NO,NO,SI,SI,Archivio fotografico e raccolta di campioni da erbario che di anno in anno si incrementano,SI,SI,NO,SI,,10.6135877,45.638213,"(45.638213, 10.6135877)"
601,742,BS,MANERBIO,Museo Civico di Manerbio e del territorio,Museo civico archeologico,"Piazza Cesare Battisti, 1",,25025,0309387293,0309387297,museo@comune.manerbio.bs.it,http://www.comune.manerbio.bs.it,,,Museo,Archeologia,COMUNE,SI,,,,"Martedì, mercoledì e venerdì: 9.00-12.30/14.30-16.30
giovedì 14.30-16.30/20.30-22.30
sabato: 9.00-12.30
domenica: 16.00-19.00",lunedì; giovedì mattina,,SI,SI,SI,NO,SI,NO,NO,NO,In casi di particolare affluenza vengono condivisi gli spazi della biblioteca.,NO,NO,SI,NO,,SI,SI,SI,NO,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,,2019,1309,915,,394,,,(2019:1309)|(2018:1727)|(2017:1857)|(2016:2623)|(2015:1884),SI,SI,SI,NO,SI,SI,NO,,SI,SI,NO,NO,,10.1388499,45.3547946,"(45.3547946, 10.1388499)"
2445,2471,BS,MONTICHIARI,Museo Demologico Giacomo Bergomi,Museo Demologico Giacomo Bergomi,VIA BRESCIA 129,BRESCIA,25018,0309650455,,info@montichiarimusei.it,http://www.montichiarimusei.it,,,Raccolta Museale,Etnografica e Antropologica,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"Venerdì e sabato 10-13 e 14-18
Domenica 14,30-19",Lunedì,,SI,SI,SI,SI,SI,NO,NO,SI,CAFFETTERIA E RISTORANTE SONO ATTIGUI AL CENTRO FIERA,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO TOTALE,GRATUITO,,,,,,,NO,SI,NO,,2019,6634,,,,,,(2019:6634)|(2018:5643)|(2017:5718)|(2016:6000)|(2015:5900),NO,SI,SI,NO,SI,SI,NO,,SI,SI,NO,SI,,10.3770994,45.4199981,"(45.4199981, 10.3770994)"
2503,2563,BS,GARDONE VAL TROMPIA,MUSEO DELLE ARMI E DELLA TRADIZIONE ARMIERA,Biblioteca,Via XX Settembre,,25063,030.832187,030.832706,info@museodellearmi.net,http://www.museodellearmi.net,,,Museo,Specializzato,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"Lunedì chiuso
martedì 14.30-18.30
mercoledì  14.30-18.30
giovedì 9.00-12.00 14.30-18.30
venerdì 9.00-12.00  14.30-18.30
sabato 9.00 - 12.00",,"Sempre su appuntamento per utenza specializzata, su prenotazione per gruppi o classi.",SI,SI,SI,SI,SI,SI,NO,SI,L'area per la prima infanzia è quella della biblioteca,NO,NO,NO,SI,,SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,Gratuito per i residenti dei Comuni aderenti al Sistema museale.,5,3,,,,SI,SI,SI,pagamento di visite guidate (euro 60 per gruppi di 25 persone) e dei laboratori (euro 90 per gruppi di 25 persone) per gruppi e classi da aggiungere al costo del biglietto.,2019,1679,662,518,955,62,,(2019:1679)|(2018:685)|(2017:899)|(2016:2875)|(2015:2327),SI,SI,SI,NO,SI,NO,SI,"Altro: Nel museo sono presenti laboratori per utenza specializzata, oltre che un laboratorio per la didattica.
Nell'edificio è presente la biblioteca di pubblica lettura che ha un settore specializzato sulla storia locale e sulle armi. E' anche presente l'archivio storico della caccia.
Si stanno realizzando degli archivi su importanti temi del lavoro armiero a Gardone V.T.",SI,SI,NO,NO,In collaborazione con il Sistema museale di Valle Trompia.,10.184521,45.6879756,"(45.6879756, 10.184521)"
444,2572,BS,BIENNO,"MUSEO ETNOGRAFICO DEL FERRO, DELLE ARTI E DELLE TRADIZIONI POPOLARI",Fucina Espositiva,Via Resoleto,,25040,0364306008,0364406610,info@comune.bienno.bs.it,http://www.comune.bienno.bs.it,,,Museo,Etnografica e Antropologica,COMUNE,SI,,,,"Dal lunedì  al venerdì dalle ore 9,30 alle ore 11,30 e dalle 14.30 alle 17.30 anche su richiesta.",,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,SI,NO,,NO,,NO,NO,ACCESSO PARZIALE,A PAGAMENTO,solo in occasione di eventi particolari,2,1.5,,,1,NO,NO,NO,"Per le strutture ricettive e Agenzie Viaggi il biglietto ha una riduzione del 50%
I biglietti vengono venduti anche presso l'ufficio turistico sito in piazza Liberazione a Bienno.

Le tariffe deliberate sono anche: Euro 3,00 Intero per ingresso a più musei ed Euro 2,00 Ridotto per ingresso più Musei.",2019,4015,1086,,1254,1675,,(2019:4015)|(2018:4015)|(2017:5033)|(2016:4560)|(2015:4200),NO,SI,SI,NO,SI,SI,NO,BIBLIOTECA COMUNALE CON SEZIONE ETNOGRAFICA CONTENENTE TESTI ATTINENTI L'ATTIVITA' DI LAVORAZIONE DEL FERRO E STUDI SCIENTIFICI AD ESSA COLLEGATI.,SI,SI,NO,NO,,10.299058,45.932737,"(45.932737, 10.299058)"
1002,1183,CR,CREMONA,MUSEO DELLA CIVILTA' CONTADINA IL CAMBONINO VECCHIO,Museo della Civiltà Contadina il Cambonino Vecchio,"Viale Cambonino, 22",,26100,0372  560025,0372 560025,museo.cambonino@comune.cremona.it,http://www.musei.comune.cremona.it,,,Museo,Etnografica e Antropologica,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,da lunedì a sabato 8.45 -13.00,,Annualmente si valuta l'opportunità della chiusura del museo nel periodo di chiusura delle scuole.,SI,,SI,SI,NO,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO PARZIALE,GRATUITO,,,,,,,,,,,2019,9230,5528,,3702,,I visitatori in gruppo organizzato non sono rilevati.,(2019:9230)|(2018:6500)|(2017:5868)|(2016:4848)|(2015:6951),SI,SI,SI,SI,SI,SI,NO,,NO,NO,NO,NO,,9.9980708,45.1518235,"(45.1518235, 9.9980708)"
1581,1682,MN,BORGO VIRGILIO,MUSEO VIRGILIANO,Museo Virgiliano,"Via Parma, 34",Pietole,46030,,0376280368,servizipersona@comune.virgilio.mn.it,https://www.borgovirgilio.gov.it,,,Raccolta Museale,Composito,ENTE PUBBLICO,SI,,,,GENERALMENTE IL MUSEO E' APERTO NEL FINE SETTIMANA: VENERDI' - SABATO E DOMENICA DALLE 10 ALLE 12 E DALLE 15 ALLE 18.,,,SI,SI,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,NO,NO,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,,2019,740,540,,100,,,(2019:740)|(2018:)|(2017:352)|(2016:500)|(2015:500),NO,NO,NO,NO,NO,SI,SI,fornitura cataloghi.,NO,NO,NO,NO,,10.818059,45.1133204,"(45.1133204, 10.818059)"
2558,2685,BS,BRESCIA,MUSEO DELL'INDUSTRIA E DEL LAVORO DI BRESCIA,MUSEO DEL FERRO,Via del Manestro 107-111,,25136,030 3750663,030 2404554,fondazione@musil.bs.it,http://www.musilsanbartolomeo.it,,,Museo,Scienza e Tecnica,FONDAZIONE (ESCLUSA FONDAZIONE BANCARIA),SI,,,,Il Museo è aperto su prenotazione e visite guidate.,,,NO,NO,SI,SI,NO,SI,NO,NO,,NO,NO,SI,NO,,SI,SI,NO,SI,ACCESSO TOTALE,A PAGAMENTO,,4,3,5,5,,NO,NO,NO,,2019,10592,5255,1381,4252,1085,Nella casella Under 18+ Over 60 è stato inserito il totale dei biglietti ridotti singoli (Under 25 + Over 65),(2019:10592)|(2018:11336)|(2017:14650)|(2016:15250)|(2015:16500),SI,SI,SI,SI,SI,SI,NO,,SI,NO,NO,SI,"Il sito www.musilbrescia.it offre ampia possibilità di ricerca sull'intero patrimonio e sull'attività del Museo.
Da circa un anno il Musil è anche molto attivo su Facebook (https://www.facebook.com/musilbrescia/).",10.2217677,45.5765071,"(45.5765071, 10.2217677)"
581,2672,BS,MALEGNO,MUSEO CIVICO LE FUDINE,Museo le Fudine,Via Sant'Antonio,,25053,0364/340500,0364/344463,info@comune.malegno.bs.it,http://www.comune.malegno.bs.it,,,Raccolta Museale,Etnografica e Antropologica,ENTE PUBBLICO,SI,,,"Martedì 16-18
Giovedì 14 - 18
Sabato 9-12 14-18","Martedì dalle 16.00 alle 18.00, giovedì dalle 14.30 alle 16.30 e sabato dalle 14.00 alle 16.00.",lunedì mercoledi venerdì domenica,,SI,SI,SI,NO,SI,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,NO,ACCESSO TOTALE,GRATUITO,,0,0,0,0,,NO,NO,NO,,2019,605,370,,120,50,,(2019:605)|(2018:255)|(2017:620)|(2016:2000)|(2015:2000),NO,SI,SI,NO,SI,SI,NO,,NO,NO,NO,NO,,10.2762238,45.9508214,"(45.9508214, 10.2762238)"
